,team_rank,rank_diff,win_rate,Team_Venue_Form,Opp_Venue_Form,Team_Cumul_GD,Opp_Cumul_GD,Total_exp,Total_Exp_local,Total_Exp_youth,win
0,0.21428571428571427,0.17370892018779344,0.0,0.6153846153846154,0.2,0.7777777777777777,0.6842105263157895,0.2737138263665595,0.6033476060724017,0.2990732940185341,0.0
1,0.21428571428571427,0.15023474178403756,0.0,1.0,0.7333333333333333,0.7407407407407407,0.8421052631578947,0.2737138263665595,0.6033476060724017,0.2990732940185341,1.0
2,0.21428571428571427,0.06572769953051644,0.0,0.6923076923076924,0.4666666666666667,0.48148148148148145,0.4736842105263158,0.2737138263665595,0.6033476060724017,0.2990732940185341,0.0
3,0.21428571428571427,0.5586854460093896,0.0,1.0,0.6,0.25925925925925924,0.4736842105263158,0.2737138263665595,0.6033476060724017,0.2990732940185341,1.0
4,0.21428571428571427,0.1267605633802817,0.0,0.46153846153846156,0.4,0.37037037037037035,0.631578947368421,0.2737138263665595,0.6033476060724017,0.2990732940185341,1.0
5,0.21428571428571427,0.107981220657277,0.0,0.6153846153846154,0.5333333333333333,0.2962962962962963,0.5789473684210527,0.2737138263665595,0.6033476060724017,0.2990732940185341,1.0
6,0.21428571428571427,0.09859154929577466,0.0,0.6153846153846154,0.26666666666666666,0.3333333333333333,0.736842105263158,0.2737138263665595,0.6033476060724017,0.2990732940185341,1.0
7,0.21428571428571427,0.18779342723004694,1.0,0.6153846153846154,0.13333333333333333,0.4074074074074074,0.5526315789473685,0.2737138263665595,0.6033476060724017,0.2990732940185341,1.0
8,0.21428571428571427,0.056338028169014086,0.0,0.8461538461538461,0.8666666666666667,0.5555555555555556,0.7894736842105263,0.2737138263665595,0.6033476060724017,0.2990732940185341,0.0
9,0.21428571428571427,0.4460093896713615,0.0,1.0,0.26666666666666666,0.4074074074074074,0.5,0.2737138263665595,0.6033476060724017,0.2990732940185341,1.0
10,0.21428571428571427,0.3615023474178404,1.0,0.46153846153846156,0.6666666666666666,0.5185185185185185,0.6578947368421053,0.2737138263665595,0.6033476060724017,0.2990732940185341,1.0
11,0.21428571428571427,0.19248826291079812,0.5,1.0,0.4666666666666667,0.5555555555555556,0.5789473684210527,0.2737138263665595,0.6033476060724017,0.2990732940185341,0.0
12,0.21428571428571427,0.08450704225352113,0.6,0.46153846153846156,0.6666666666666666,0.4444444444444444,0.8421052631578947,0.2737138263665595,0.6033476060724017,0.2990732940185341,1.0
13,0.21428571428571427,0.23943661971830987,1.0,0.8461538461538461,0.0,0.4444444444444444,0.5789473684210527,0.2737138263665595,0.6033476060724017,0.2990732940185341,1.0
14,0.07142857142857142,0.7136150234741784,1.0,0.8461538461538461,0.06666666666666667,0.5185185185185185,0.4210526315789474,0.0,0.0,0.0,1.0
15,0.07142857142857142,0.09389671361502347,0.6666666666666666,0.8461538461538461,0.5333333333333333,0.48148148148148145,0.7894736842105263,0.0,0.0,0.0,0.0
16,0.07142857142857142,0.06103286384976526,0.0,0.46153846153846156,0.7333333333333333,0.4074074074074074,0.8157894736842105,0.0,0.0,0.0,0.0
17,0.07142857142857142,0.13615023474178403,0.4,0.3846153846153847,0.6,0.25925925925925924,0.9473684210526316,0.0,0.0,0.0,0.0
18,0.07142857142857142,0.42723004694835687,0.0,0.6923076923076924,0.26666666666666666,0.18518518518518517,0.368421052631579,0.0,0.0,0.0,1.0
19,0.07142857142857142,0.539906103286385,0.0,0.6923076923076924,0.13333333333333333,0.37037037037037035,0.368421052631579,0.0,0.0,0.0,1.0
20,0.07142857142857142,0.7136150234741784,1.0,0.7692307692307693,0.06666666666666667,0.37037037037037035,0.10526315789473689,0.0,0.0,0.0,1.0
21,0.07142857142857142,0.42723004694835687,1.0,0.3846153846153847,0.4666666666666667,0.5925925925925926,0.21052631578947373,0.0,0.0,0.0,1.0
22,0.07142857142857142,0.4460093896713615,1.0,0.8461538461538461,0.2,0.8148148148148147,0.26315789473684215,0.0,0.0,0.0,1.0
23,0.07142857142857142,0.3145539906103286,0.0,0.8461538461538461,0.5333333333333333,1.0,0.6052631578947368,0.0,0.0,0.0,1.0
24,0.5714285714285714,0.03755868544600939,0.0,0.6153846153846154,1.0,0.9259259259259258,0.8421052631578947,0.10707395498392286,0.0,0.098184881672666,0.0
25,0.5714285714285714,0.22535211267605634,0.5,0.8461538461538461,0.6,0.8148148148148147,0.6578947368421053,0.10707395498392286,0.0,0.098184881672666,0.0
26,0.5714285714285714,0.028169014084507046,0.0,0.7692307692307693,0.26666666666666666,0.48148148148148145,1.0,0.10707395498392286,0.0,0.098184881672666,0.0
27,0.5714285714285714,0.3192488262910798,0.0,0.7692307692307693,0.13333333333333333,0.4074074074074074,0.5789473684210527,0.10707395498392286,0.0,0.098184881672666,1.0
28,0.5714285714285714,0.07042253521126761,0.5,0.7692307692307693,0.6,0.2962962962962963,0.6052631578947368,0.10707395498392286,0.0,0.098184881672666,0.0
29,0.5714285714285714,0.18309859154929578,0.0,0.5384615384615384,0.8,0.1111111111111111,0.5526315789473685,0.10707395498392286,0.0,0.098184881672666,1.0
30,0.5714285714285714,0.11737089201877934,0.0,0.46153846153846156,0.5333333333333333,0.25925925925925924,0.6842105263157895,0.10707395498392286,0.0,0.098184881672666,0.0
31,0.5714285714285714,0.056338028169014086,0.3333333333333333,0.23076923076923078,0.5333333333333333,0.3333333333333333,0.6578947368421053,0.10707395498392286,0.0,0.098184881672666,0.0
