,Home_team_current_form,Away_team_current_form,Home_team home_form
396,9,3,13
397,11,8,8
398,15,1,12
399,9,6,9
400,12,7,9
401,13,2,15
402,10,13,13
403,8,10,8
404,6,3,10
405,15,9,12
406,5,5,7
407,6,5,7
408,9,3,10
409,8,13,11
410,10,10,13
411,6,5,6
412,6,9,6
413,11,10,13
414,0,3,1
415,9,0,12
416,11,0,13
417,10,6,10
418,7,7,9
419,8,1,8
420,6,0,12
421,3,11,4
422,3,3,10
423,10,1,10
424,1,12,2
425,0,9,0
426,5,1,10
427,7,8,7
428,8,4,8
429,13,0,15
430,11,4,13
431,9,5,9
432,7,9,7
433,13,3,15
434,11,5,13
435,10,9,8
436,7,7,7
437,7,11,13
438,10,2,10
439,4,11,8
440,7,0,10
441,9,5,9
442,1,8,2
443,4,11,6
444,12,8,12
445,4,7,8
446,1,10,7
447,0,13,1
448,9,4,9
449,5,11,7
450,7,1,6
451,12,9,12
452,10,10,10
453,5,7,4
454,12,7,12
455,10,10,13
456,12,10,12
457,4,5,2
458,8,10,8
459,9,1,10
460,8,2,10
461,4,8,5
462,2,4,2
463,6,7,9
464,10,0,15
465,6,7,4
466,10,0,9
467,8,7,13
468,3,10,7
469,5,10,3
470,5,5,7
471,6,2,8
472,8,1,9
473,1,12,2
474,3,6,2
475,0,8,2
476,6,8,5
477,8,5,11
478,0,10,0
479,10,7,9
480,7,10,8
481,12,0,12
482,8,4,7
483,10,9,13
484,6,8,6
485,0,8,0
486,1,10,1
487,2,8,1
488,5,4,4
489,7,9,3
490,8,5,13
491,1,6,7
492,0,13,0
493,0,9,0
494,9,2,11
495,5,9,6
496,1,3,1
497,11,4,12
498,10,3,12
499,0,13,0
500,5,4,4
501,9,7,4
502,10,2,5
503,6,0,11
504,12,3,13
505,1,13,1
506,3,6,4
507,9,10,13
508,3,13,3
509,12,10,12
510,0,12,0
511,6,2,3
512,10,11,13
513,9,6,5
514,10,7,6
515,8,7,11
516,11,10,7
517,12,3,15
518,11,0,13
519,4,3,4
520,10,1,13
521,7,1,5
522,0,11,1
523,12,2,15
524,10,1,12
525,6,11,3
526,4,10,3
527,13,0,13
528,10,0,13
529,13,3,13
530,2,7,2
531,13,5,13
532,13,0,15
533,0,6,0
534,5,11,3
535,3,10,2
536,3,10,9
537,1,13,7
538,7,7,7
539,13,6,15
540,1,10,1
541,5,11,3
542,10,2,12
543,4,1,4
544,6,7,4
545,13,2,15
546,6,13,2
547,2,5,5
548,0,10,0
549,0,13,7
550,11,4,6
551,10,4,10
552,9,7,11
553,11,4,13
554,1,7,1
555,11,10,9
556,8,7,13
557,13,3,11
558,4,5,9
559,11,5,9
560,2,2,7
561,8,8,8
562,10,2,10
563,5,5,3
564,10,1,7
565,7,12,10
566,9,0,9
567,10,7,7
568,13,8,13
569,13,6,15
570,11,4,13
571,0,13,0
572,6,10,5
573,11,0,11
574,13,0,15
575,6,7,5
576,5,5,5
577,11,1,13
578,6,12,9
579,1,9,2
580,10,0,10
581,7,3,10
582,7,13,7
583,0,4,0
584,13,0,13
585,4,9,4
586,5,9,2
587,5,13,8
588,11,7,11
589,7,11,9
590,4,13,7
591,10,4,10
592,9,2,13
593,11,4,11
594,13,1,15
595,6,4,4
596,2,13,1
597,9,7,5
598,9,7,13
599,13,0,13
600,7,0,10
601,7,0,7
602,13,1,11
603,3,7,6
604,11,3,11
605,13,1,15
606,0,13,0
607,4,8,3
608,13,3,15
609,12,2,15
610,11,7,13
611,10,13,8
612,13,1,15
613,8,4,5
614,13,4,11
615,4,11,5
616,9,7,7
617,1,13,1
618,5,11,6
619,10,10,8
620,2,8,1
621,11,4,11
622,12,3,15
623,8,7,10
624,13,7,11
625,0,11,0
626,0,7,1
627,10,1,8
628,2,13,1
629,7,5,5
630,13,1,13
631,7,1,12
632,10,1,12
633,1,7,3
634,5,8,3
635,8,8,7
636,9,9,10
637,10,8,7
638,10,2,10
639,10,0,15
640,10,1,10
641,13,0,15
642,11,3,11
643,15,6,15
644,8,6,13
645,10,7,10
646,6,11,2
647,10,2,10
648,10,1,13
649,9,5,11
650,15,0,15
651,0,13,1
652,11,6,11
653,10,8,10
654,10,0,10
655,11,1,13
656,13,3,13
657,15,2,15
658,0,13,0
659,4,13,3
660,9,2,13
661,10,7,10
662,13,4,13
663,13,5,13
664,15,0,15
665,13,1,13
666,9,2,11
667,15,0,15
668,11,8,11
669,13,2,13
670,13,1,13
671,6,13,5
672,11,3,11
673,15,1,15
674,1,9,7
675,1,15,1
676,0,11,0
677,15,6,15
678,13,1,15
679,15,8,15
680,11,7,11
681,12,11,12
682,15,3,15
683,13,5,11
684,8,11,12
685,10,15,12
686,12,13,12
687,12,13,12
688,12,9,12
689,15,12,13
690,5,10,6
691,9,1,8
692,5,12,5
693,10,7,12
694,12,5,12
695,4,10,6
696,12,4,10
697,9,6,13
698,10,0,12
699,0,12,1
700,12,3,12
701,10,4,10
702,0,10,0
703,1,9,1
704,8,0,5
705,10,1,12
706,0,9,0
707,1,4,7
708,12,7,11
709,3,10,5
710,2,12,1
711,10,4,11
712,7,7,8
713,0,12,0
714,2,10,3
715,10,3,10
716,15,0,12
717,9,4,13
718,7,4,10
719,4,0,12
720,13,9,7
721,6,6,6
722,5,4,8
723,8,0,8
724,4,9,5
725,6,10,7
726,12,0,11
727,0,7,0
728,13,3,11
729,4,4,10
730,5,15,6
731,7,2,12
732,4,10,9
733,7,7,8
734,1,13,1
735,12,9,11
736,8,7,8
737,11,8,11
738,7,1,12
739,6,9,9
740,9,8,10
741,10,7,12
742,6,4,5
743,5,6,7
744,9,4,10
745,13,6,15
746,11,3,11
747,3,13,4
748,6,9,7
749,3,3,3
750,2,9,5
751,9,7,11
752,12,3,12
753,12,0,10
754,9,9,9
755,0,5,0
756,12,2,12
757,10,9,12
758,10,9,8
759,0,6,0
760,6,10,6
761,3,11,3
762,12,5,12
763,2,9,3
764,6,7,8
765,3,13,4
766,0,13,2
767,12,3,12
768,10,0,12
769,6,3,9
770,8,11,9
771,1,12,1
772,1,11,1
773,0,8,0
774,0,9,1
775,4,0,7
776,12,0,12
777,12,5,12
778,9,1,9
779,1,15,1
780,2,13,2
781,0,13,0
782,1,9,1
783,3,5,6
784,8,12,5
785,9,15,6
786,3,10,6
787,12,3,12
788,4,15,5
789,8,10,5
790,10,3,5
791,6,13,6
792,10,13,9
793,12,1,11
794,7,7,13
795,12,1,15
796,3,12,9
797,3,12,6
798,10,3,7
799,10,15,9
800,15,4,12
801,2,4,1
802,5,10,3
803,7,5,11
804,13,0,12
805,3,10,8
806,0,7,0
807,5,5,4
808,6,13,10
809,12,0,10
810,0,10,0
811,10,4,9
812,1,13,4
813,10,0,11
814,7,9,6
815,15,3,15
816,8,1,7
817,6,11,5
818,10,0,12
819,3,12,3
820,10,6,9
821,10,0,11
822,2,9,1
823,9,0,11
824,5,9,8
825,8,10,5
826,1,12,2
827,8,4,10
828,10,1,12
829,10,0,12
830,12,0,13
831,10,8,12
832,11,1,11
833,9,13,12
834,11,4,12
835,0,8,0
836,6,9,5
837,9,9,9
838,8,4,10
839,3,13,5
840,15,0,13
841,11,7,9
842,13,7,15
843,4,8,6
844,0,8,2
845,9,9,4
846,9,5,12
847,15,6,12
848,15,10,13
849,13,8,15
850,0,12,1
851,7,4,7
852,8,6,10
853,7,15,6
854,7,10,10
855,13,12,15
856,4,10,5
857,15,1,12
858,6,12,7
859,12,1,13
860,8,1,10
861,11,7,8
862,9,2,12
863,10,7,13
864,9,4,4
865,12,6,15
866,8,3,11
867,11,5,8
868,7,3,8
869,15,1,15
870,2,10,2
871,13,1,13
872,0,9,0
873,10,1,11
874,15,2,15
875,7,5,10
876,13,10,11
877,13,9,13
878,8,11,7
879,7,6,12
880,15,4,15
881,9,9,3
882,10,10,7
883,7,6,13
884,13,8,13
885,4,6,9
886,6,15,5
887,6,9,8
888,0,10,0
889,5,7,10
890,13,5,13
891,1,15,6
892,9,12,7
893,12,9,12
894,15,7,15
895,12,4,11
896,9,15,8
897,9,15,10
898,4,15,9
899,10,7,10
900,12,3,12
901,5,1,11
902,9,0,9
903,7,10,8
904,2,8,8
905,1,4,2
906,6,7,5
907,0,10,0
908,4,4,3
909,6,0,10
910,1,8,1
911,1,12,1
912,0,6,0
913,6,2,4
914,0,9,0
915,7,7,9
916,15,3,15
917,7,13,6
918,4,10,6
919,6,2,10
920,3,5,6
921,10,3,11
922,0,9,1
923,5,7,4
924,6,7,9
925,15,2,15
926,4,4,6
927,7,1,10
928,2,8,4
929,13,2,10
930,0,15,0
931,10,7,12
932,12,0,6
933,7,2,9
934,6,7,8
935,5,3,6
936,4,7,5
937,10,1,10
938,4,13,4
939,7,15,9
940,13,1,12
941,12,9,3
942,11,0,11
943,2,10,3
944,8,4,7
945,7,5,12
946,8,3,10
947,10,15,9
948,10,11,4
949,1,8,1
950,12,4,9
951,5,7,3
952,15,7,15
953,7,8,12
954,8,0,9
955,8,9,7
956,7,5,9
957,8,5,5
958,5,3,7
959,15,12,15
960,1,13,4
961,7,3,9
962,12,0,13
963,9,0,9
964,4,6,4
965,0,8,1
966,0,8,0
967,13,4,9
968,6,2,8
969,15,1,15
970,8,0,8
971,6,4,7
972,12,1,13
973,10,0,10
974,6,3,8
975,8,2,9
976,13,4,12
977,7,1,6
978,1,15,5
979,1,9,6
980,5,8,7
981,1,7,1
982,8,4,6
983,7,10,7
984,0,10,0
985,9,1,7
986,1,10,3
987,1,13,5
988,8,5,11
989,1,12,1
990,0,15,0
991,12,0,13
992,1,11,1
993,10,1,13
994,13,5,15
995,1,15,0
996,1,13,6
997,15,0,15
998,6,10,6
999,0,15,1
1000,9,10,10
1001,12,4,12
1002,0,12,1
1003,0,13,0
1004,10,1,6
1005,0,12,0
1006,0,11,1
1007,4,12,4
1008,13,13,13
1009,7,4,5
1010,10,6,12
1011,7,7,8
1012,6,11,7
1013,13,0,15
1014,10,4,7
1015,3,7,3
1016,13,0,9
1017,13,8,13
1018,6,3,8
1019,12,1,12
1020,10,5,10
1021,4,1,5
1022,13,4,15
1023,13,0,9
1024,6,11,7
1025,7,2,10
1026,1,5,2
1027,6,13,7
1028,2,8,6
1029,12,1,12
1030,4,15,5
1031,8,11,8
1032,3,1,7
1033,11,0,10
1034,7,0,8
1035,3,8,2
1036,8,6,8
1037,11,6,11
1038,4,15,5
1039,4,10,8
1040,6,15,6
1041,10,4,15
1042,4,3,4
1043,11,4,10
1044,13,3,10
1045,7,1,11
1046,11,1,12
1047,13,0,13
1048,6,3,10
1049,13,9,12
1050,8,5,11
1051,3,11,2
1052,11,9,10
1053,13,6,13
1054,15,9,12
1055,4,3,6
1056,9,0,10
1057,4,15,3
1058,6,15,3
1059,11,4,11
1060,11,2,11
1061,11,2,10
1062,9,4,11
1063,4,11,7
1064,9,7,10
1065,9,6,15
1066,10,15,8
1067,8,12,8
1068,10,6,10
1069,9,1,11
1070,9,3,11
1071,15,1,15
1072,6,7,9
1073,8,0,8
1074,9,2,12
1075,9,0,15
1076,13,1,13
1077,8,1,8
1078,10,0,10
1079,9,0,11
1080,3,8,6
1081,15,1,12
1082,7,12,7
1083,2,8,4
1084,11,2,13
1085,13,1,13
1086,5,6,5
1087,10,3,8
1088,8,3,8
1089,15,5,15
1090,5,4,7
1091,13,0,13
1092,11,6,8
1093,0,13,0
1094,15,7,15
1095,3,5,2
1096,10,4,13
1097,7,4,9
1098,12,5,10
1099,6,6,6
1100,15,5,15
1101,3,11,2
1102,12,11,12
1103,5,6,4
1104,4,7,5
1105,11,2,11
1106,12,5,9
1107,15,6,15
1108,4,2,6
1109,11,1,13
1110,12,0,12
1111,4,12,4
1112,3,2,3
1113,2,12,0
1114,0,11,3
1115,1,15,1
1116,3,3,4
1117,5,12,3
1118,11,13,11
1119,12,8,12
1120,15,3,15
1121,12,8,12
1122,15,10,15
1123,9,12,9
1124,6,12,0
1125,2,15,2
1126,9,15,9
1127,2,12,2
1128,12,15,12
1129,3,5,3
1130,6,10,5
1131,8,0,11
1132,5,9,9
1133,7,13,3
1134,9,1,7
1135,4,6,5
1136,5,3,7
1137,5,10,5
1138,6,10,9
1139,10,1,11
1140,4,5,4
1141,1,7,3
1142,7,4,5
1143,0,13,1
1144,1,4,1
1145,6,1,9
1146,0,10,0
1147,9,10,9
1148,0,3,3
1149,7,8,7
1150,10,0,9
1151,7,0,5
1152,10,5,12
1153,12,5,10
1154,7,0,12
1155,8,12,8
1156,3,3,7
1157,7,7,9
1158,13,3,9
1159,8,0,7
1160,1,6,1
1161,1,10,2
1162,5,7,8
1163,5,3,11
1164,10,1,12
1165,6,3,6
1166,4,5,7
1167,10,1,9
1168,9,1,6
1169,11,2,10
1170,0,7,2
1171,10,4,8
1172,0,13,1
1173,13,4,12
1174,4,10,9
1175,7,0,9
1176,4,11,3
1177,10,12,8
1178,11,3,8
1179,15,3,12
1180,10,9,11
1181,1,7,4
1182,5,13,5
1183,12,9,9
1184,8,5,5
1185,2,10,2
1186,15,7,9
1187,11,9,10
1188,13,0,10
1189,15,1,12
1190,9,2,12
1191,9,0,12
1192,1,11,3
1193,0,15,3
1194,1,15,1
1195,0,9,0
1196,12,7,15
1197,11,0,10
1198,0,15,0
1199,10,5,9
1200,3,10,3
1201,7,6,12
1202,11,0,8
1203,8,2,8
1204,13,5,10
1205,8,7,10
1206,13,7,11
1207,1,12,1
1208,15,0,15
1209,10,5,11
1210,5,11,5
1211,3,9,3
1212,8,2,10
1213,6,9,5
1214,1,10,3
1215,5,11,5
1216,11,4,6
1217,11,4,10
1218,5,13,13
1219,8,8,6
1220,13,0,13
1221,10,9,13
1222,4,12,3
1223,2,11,4
1224,0,12,0
1225,1,11,2
1226,10,8,10
1227,0,15,0
1228,2,11,2
1229,4,11,9
1230,1,9,4
1231,9,3,11
1232,12,4,10
1233,12,12,10
1234,10,1,13
1235,9,1,12
1236,1,9,1
1237,1,11,3
1238,1,9,1
1239,1,11,3
1240,1,13,1
1241,0,12,0
1242,15,0,12
1243,1,9,3
1244,11,0,15
1245,12,3,15
1246,7,7,10
1247,9,4,9
1248,11,3,6
1249,4,11,8
1250,12,1,10
1251,1,9,2
