,Home_team_current_form,Away_team_current_form,Home_team home_form
1657,7,6,6
1658,1,12,0
1659,6,1,3
1660,0,10,0
1661,3,10,2
1662,0,9,1
1663,2,11,2
1664,6,12,8
1665,6,2,6
1666,12,5,13
1667,6,0,8
1668,7,6,7
1669,4,10,4
1670,10,6,8
1671,2,5,0
1672,9,6,9
1673,0,11,0
1674,12,3,12
1675,1,12,1
1676,8,5,10
1677,7,6,6
1678,7,9,3
1679,9,4,9
1680,5,3,6
1681,7,12,9
1682,11,4,15
1683,0,12,0
1684,9,0,9
1685,6,9,5
1686,7,2,8
1687,12,1,9
1688,5,6,10
1689,13,1,15
1690,15,1,12
1691,0,12,0
1692,1,10,1
1693,0,6,0
1694,0,12,1
1695,12,3,10
1696,0,5,0
1697,5,1,3
1698,4,12,5
1699,0,15,1
1700,4,15,4
1701,12,2,13
1702,12,0,10
1703,6,7,4
1704,15,12,13
1705,15,9,12
1706,4,4,3
1707,15,12,15
1708,5,6,6
1709,6,9,7
1710,12,12,15
1711,10,6,10
1712,4,12,3
1713,5,5,7
1714,7,7,4
1715,7,3,6
1716,8,13,11
1717,6,12,3
1718,9,5,6
1719,6,12,7
1720,7,11,6
1721,9,9,12
1722,12,6,12
1723,6,5,9
1724,7,9,6
1725,9,12,6
1726,10,0,10
1727,9,5,12
1728,12,1,12
1729,6,7,6
1730,1,12,3
1731,5,11,6
1732,6,6,9
1733,5,10,11
1734,9,0,9
1735,12,1,15
1736,10,5,13
1737,3,10,5
1738,11,6,15
1739,12,9,12
1740,4,4,7
1741,0,10,0
1742,12,9,15
1743,6,1,9
1744,10,0,13
1745,8,5,11
1746,4,7,4
1747,8,6,12
1748,9,1,12
1749,15,6,15
1750,10,4,10
1751,9,3,9
1752,7,10,10
1753,10,6,12
1754,10,10,10
1755,15,4,15
1756,13,4,13
1757,10,3,10
1758,12,0,11
1759,12,5,12
1760,10,6,10
1761,8,1,11
1762,13,1,13
1763,7,11,7
1764,5,9,4
1765,6,10,7
1766,2,6,2
1767,12,8,10
1768,0,10,3
1769,5,9,4
1770,13,7,13
1771,13,7,10
1772,2,12,2
1773,8,10,10
1774,12,6,12
1775,2,9,5
1776,7,9,9
1777,13,9,13
1778,13,10,13
1779,11,6,11
1780,13,10,13
1781,10,13,10
1782,12,5,13
1783,9,9,7
1784,6,12,9
1785,10,9,0
1786,15,0,11
1787,0,9,0
1788,0,12,0
1789,4,8,7
1790,2,6,2
1791,9,0,12
1792,1,10,2
1793,0,9,0
1794,0,9,0
1795,1,8,1
1796,4,12,6
1797,7,7,7
1798,9,4,9
1799,10,4,12
1800,12,0,9
1801,10,1,3
1802,12,0,11
1803,10,0,10
1804,12,6,13
1805,7,1,8
1806,3,10,3
1807,0,7,0
1808,1,15,4
1809,6,12,3
1810,0,9,0
1811,7,10,3
1812,12,6,15
1813,7,4,7
1814,3,8,3
1815,12,4,9
1816,5,10,4
1817,10,4,10
1818,13,1,12
1819,0,15,0
1820,0,10,0
1821,13,0,12
1822,13,0,9
1823,10,2,7
1824,3,8,3
1825,12,0,13
1826,11,11,10
1827,11,6,10
1828,11,13,5
1829,13,8,15
1830,5,1,6
1831,11,3,8
1832,11,1,15
1833,11,8,10
1834,7,7,6
1835,3,13,3
1836,12,1,15
1837,0,13,1
1838,8,1,10
1839,5,2,9
1840,10,13,7
1841,4,13,4
1842,12,4,12
1843,5,9,7
1844,13,0,8
1845,4,7,3
1846,10,3,10
1847,12,0,12
1848,9,5,7
1849,9,3,10
1850,1,11,2
1851,13,6,11
1852,11,8,13
1853,2,6,6
1854,0,11,1
1855,0,12,1
1856,9,3,7
1857,7,7,4
1858,11,0,15
1859,5,8,9
1860,15,0,13
1861,0,11,0
1862,9,5,10
1863,10,4,10
1864,4,13,3
1865,5,10,7
1866,11,7,13
1867,1,13,0
1868,11,1,13
1869,10,7,7
1870,13,4,13
1871,7,13,3
1872,10,4,7
1873,11,0,13
1874,9,9,10
1875,4,1,5
1876,12,6,10
1877,0,13,4
1878,1,8,1
1879,0,7,0
1880,13,12,13
1881,10,1,10
1882,4,13,5
1883,1,12,2
1884,12,6,10
1885,10,4,13
1886,15,0,13
1887,11,0,9
1888,12,0,15
1889,0,13,0
1890,10,1,13
1891,3,15,4
1892,13,3,11
1893,10,1,13
1894,13,0,13
1895,0,12,0
1896,4,12,1
1897,2,15,5
1898,6,10,5
1899,0,6,0
1900,15,0,13
1901,1,12,0
1902,2,11,4
1903,0,10,3
1904,0,15,1
1905,15,0,13
1906,13,4,13
1907,8,0,5
1908,12,7,12
1909,15,4,10
1910,8,7,7
1911,10,12,10
1912,13,5,11
1913,13,13,11
1914,13,3,13
1915,15,0,12
1916,9,7,7
1917,15,4,13
1918,7,8,6
1919,8,10,11
1920,13,5,13
1921,11,7,11
1922,11,11,13
1923,13,7,13
1924,3,15,6
1925,3,13,8
1926,10,11,10
1927,9,11,11
1928,7,7,5
1929,5,9,8
1930,12,11,12
1931,13,3,13
1932,7,6,7
1933,10,12,10
1934,13,0,13
1935,9,5,9
1936,6,7,8
1937,7,3,7
1938,1,7,2
1939,3,10,5
1940,11,6,13
1941,3,4,4
1942,8,3,8
1943,5,3,8
1944,10,4,10
1945,4,4,3
1946,4,10,8
1947,10,5,12
1948,9,3,9
1949,5,3,5
1950,11,6,11
1951,4,3,3
1952,9,8,13
1953,5,8,6
1954,11,3,11
1955,11,3,9
1956,8,1,8
1957,5,3,8
1958,3,9,3
1959,10,8,10
1960,13,3,13
1961,6,9,8
1962,13,3,10
1963,4,7,5
1964,13,0,13
1965,2,13,2
1966,9,4,8
1967,0,11,0
1968,13,3,13
1969,13,1,13
1970,6,7,7
1971,13,0,11
1972,9,5,11
1973,1,9,1
1974,2,11,3
1975,6,6,9
1976,12,15,10
1977,11,6,13
1978,9,8,10
1979,5,8,5
1980,15,5,15
1981,8,12,4
1982,9,13,9
1983,7,15,6
1984,4,12,7
1985,13,12,13
1986,10,9,10
1987,12,6,15
1988,13,7,15
1989,7,13,7
1990,8,3,12
1991,6,8,9
1992,6,3,6
1993,3,12,6
1994,6,8,9
1995,1,7,1
1996,13,8,15
1997,7,3,10
1998,8,5,11
1999,6,0,6
2000,7,12,3
2001,10,5,11
2002,3,6,4
2003,6,7,9
2004,3,1,6
2005,2,8,2
2006,3,3,4
2007,11,5,13
2008,3,10,9
2009,12,4,15
2010,5,4,10
2011,9,3,10
2012,8,7,12
2013,2,6,1
2014,3,10,3
2015,9,7,8
2016,7,6,4
2017,11,4,13
2018,13,8,13
2019,13,4,13
2020,5,9,10
2021,9,4,10
2022,10,8,9
2023,7,4,10
2024,10,8,12
2025,6,11,7
2026,0,6,3
2027,7,10,6
2028,13,5,9
2029,6,4,9
2030,9,2,8
2031,7,8,11
2032,11,2,9
2033,9,3,6
2034,10,6,13
2035,8,5,7
