,Unnamed: 0,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,check_column,Country Column,Nationality
0,0,Luís Figo,Right Winger,27,FC Barcelona,LaLiga,Real Madrid,LaLiga,2000-2001,,60000000,,Spain,Portugal
1,1,Hernán Crespo,Centre-Forward,25,Parma,Serie A,Lazio,Serie A,2000-2001,,56810000,True,Italy,Argentina
2,2,Marc Overmars,Left Winger,27,Arsenal,Premier League,FC Barcelona,LaLiga,2000-2001,,40000000,,Spain,Netherlands
3,3,Gabriel Batistuta,Centre-Forward,31,Fiorentina,Serie A,AS Roma,Serie A,2000-2001,,36150000,,Italy,Argentina
4,4,Nicolas Anelka,Centre-Forward,21,Real Madrid,LaLiga,Paris SG,Ligue 1,2000-2001,,34500000,,France,France
5,5,Rio Ferdinand,Centre-Back,22,West Ham,Premier League,Leeds,Premier League,2000-2001,,26000000,,England,England
6,6,Flávio Conceicao,Central Midfield,26,Dep. La Coruña,LaLiga,Real Madrid,LaLiga,2000-2001,,25000000,,Spain,
7,7,Savo Milosevic,Centre-Forward,26,Real Zaragoza,LaLiga,Parma,Serie A,2000-2001,,25000000,,Italy,"SR Bosnia and Herzegovina,SFR Yugoslavia"
8,8,David Trézéguet,Centre-Forward,22,Monaco,Ligue 1,Juventus,Serie A,2000-2001,,23240000,,Italy,France
9,9,Claudio López,Centre-Forward,25,Valencia CF,LaLiga,Lazio,Serie A,2000-2001,,23000000,,Italy,
10,10,Jimmy Floyd Hasselbaink,Centre-Forward,28,Atlético Madrid,LaLiga2,Chelsea,Premier League,2000-2001,,22500000,,England,Suriname
11,11,Gerard López,Central Midfield,21,Valencia CF,LaLiga,FC Barcelona,LaLiga,2000-2001,,21600000,,Spain,Spain
12,12,Lucas,Centre-Forward,21,Atlético-PR, Brazil,Stade Rennais,Ligue 1,2000-2001,,21300000,True,France,
13,13,Pablo Aimar,Attacking Midfield,21,River Plate, Argentina,Valencia CF,LaLiga,2000-2001,,21250000,,Spain,Argentina
14,14,Wálter Samuel,Centre-Back,22,Boca Juniors, Argentina,AS Roma,Serie A,2000-2001,,20800000,,Italy,Argentina
15,15,Shabani Nonda,Centre-Forward,23,Stade Rennais,Ligue 1,Monaco,Ligue 1,2000-2001,,20000000,,France,Burundi
16,16,Robbie Keane,Centre-Forward,19,Coventry City,Premier League,Inter,Serie A,2000-2001,,19500000,,Italy,Ireland
17,17,José Mari,Centre-Forward,21,Atlético Madrid,LaLiga2,AC Milan,Serie A,2000-2001,,19000000,True,Italy,
18,18,Jonathan Zebina,Centre-Back,21,Cagliari Calcio,Serie B,AS Roma,Serie A,2000-2001,,18400000,,Italy,France
19,19,Émerson,Defensive Midfield,24,Bay. Leverkusen,1.Bundesliga,AS Roma,Serie A,2000-2001,,18000000,,Italy,
20,20,Tore André Flo,Centre-Forward,27,Chelsea,Premier League,Rangers, Scotland,2000-2001,,18000000,,Scotland,Norway
21,21,Sergiy Rebrov,Second Striker,26,Dynamo Kyiv,Premier Liga,Spurs,Premier League,2000-2001,,18000000,,England,Soviet Union (now Ukraine)
22,22,Angelo Peruzzi,Goalkeeper,30,Inter,Serie A,Lazio,Serie A,2000-2001,,17900000,,Italy,Italy
23,23,Diego Tristán,Centre-Forward,24,RCD Mallorca,LaLiga,Dep. La Coruña,LaLiga,2000-2001,,17750000,,Spain,Spain
24,24,Sylvain Wiltord,Second Striker,26,G. Bordeaux,Ligue 1,Arsenal,Premier League,2000-2001,,17500000,,England,France
25,25,Fernando Redondo,Defensive Midfield,31,Real Madrid,LaLiga,AC Milan,Serie A,2000-2001,,17500000,True,Italy,Argentina
26,27,Nuno Gomes,Centre-Forward,24,Benfica,Liga NOS,Fiorentina,Serie A,2000-2001,,17000000,,,Portugal
27,28,Sérgio Conceição,Right Winger,25,Lazio,Serie A,Parma,Serie A,2000-2001,,17000000,,Italy,Portugal
28,29,Alfonso,Centre-Forward,27,Real Betis,LaLiga2,FC Barcelona,LaLiga,2000-2001,,16500000,True,Italy,
29,30,Francisco Farinós,Defensive Midfield,22,Valencia CF,LaLiga,Inter,Serie A,2000-2001,,16250000,,Spain,Spain
30,31,Kakhaber Kaladze,Centre-Back,22,Dynamo Kyiv,Premier Liga,AC Milan,Serie A,2000-2001,,16000000,,Italy,
31,32,Francis Jeffers,Centre-Forward,20,Everton,Premier League,Arsenal,Premier League,2000-2001,,15300000,,Italy,England
32,33,Emmanuel Petit,Defensive Midfield,29,Arsenal,Premier League,FC Barcelona,LaLiga,2000-2001,,15000000,,England,France
33,34,Tomás Rosicky,Attacking Midfield,20,Sparta Praha, Czech Republic,Bor. Dortmund,1.Bundesliga,2000-2001,,14500000,,Spain,
34,35,Catanha,Centre-Forward,28,Málaga CF,LaLiga,Celta de Vigo,LaLiga,2000-2001,,14420000,,Germany,Brazil
35,36,Juan Pablo Ángel,Centre-Forward,25,River Plate, Argentina,Aston Villa,Premier League,2000-2001,,14400000,,Spain,Colombia
36,37,Mateja Kezman,Centre-Forward,21,Partizan, Serbia,PSV Eindhoven,Eredivisie,2000-2001,,14000000,,England,SFR Yugoslavia
37,38,Claude Makélélé,Defensive Midfield,27,Celta de Vigo,LaLiga,Real Madrid,LaLiga,2000-2001,,14000000,,Netherlands,Zaire
38,39,Aldo Duscher,Defensive Midfield,21,Sporting CP,Liga NOS,Dep. La Coruña,LaLiga,2000-2001,,13000000,,Spain,Argentina
39,40,Ugo Ehiogu,Centre-Back,27,Aston Villa,Premier League,Middlesbrough,Premier League,2000-2001,,12200000,,Spain,England
40,41,Jesper Grönkjaer,Left Winger,23,AFC Ajax,Eredivisie,Chelsea,Premier League,2000-2001,,11850000,,England,
41,42,Fabien Barthez,Goalkeeper,29,Monaco,Ligue 1,Man Utd,Premier League,2000-2001,,11700000,,England,France
42,43,Edmílson,Centre-Back,23,São Paulo, Brazil,Olympique Lyon,Ligue 1,2000-2001,,11000000,,England,Brazil
43,44,Stéphane Dalmat,Central Midfield,21,Marseille,Ligue 1,Paris SG,Ligue 1,2000-2001,,10750000,,France,"
Joué-lès-Tours,[1] France"
44,45,Laurén,Right-Back,23,RCD Mallorca,LaLiga,Arsenal,Premier League,2000-2001,,10700000,,France,
45,46,Pedro Munitis,Second Striker,25,Racing,LaLiga,Real Madrid,LaLiga,2000-2001,,10500000,,England,Spain
46,47,Olivier Dacourt,Defensive Midfield,25,Lens,Ligue 1,Leeds,Premier League,2000-2001,,10500000,,Spain,France
47,48,Carl Cort,Centre-Forward,22,MK Dons, England,Newcastle,Premier League,2000-2001,,10500000,,England,England
48,49,Stéphane Porato,Goalkeeper,26,Marseille,Ligue 1,Monaco,Ligue 1,2000-2001,,10500000,,England,France
49,50,Robert Pirès,Left Midfield,26,Marseille,Ligue 1,Arsenal,Premier League,2000-2001,,9800000,,France,France
50,51,Émerson,Defensive Midfield,28,CD Tenerife,LaLiga2,Dep. La Coruña,LaLiga,2000-2001,,9600000,,England,
51,52,Chris Sutton,Centre-Forward,27,Chelsea,Premier League,Celtic, Scotland,2000-2001,,9500000,,Spain,England
52,53,Claudio Husaín,Defensive Midfield,25,River Plate, Argentina,SSC Napoli,Serie A,2000-2001,,9300000,,Scotland,Argentina
53,54,Craig Bellamy,Left Winger,21,Norwich, England,Coventry City,Premier League,2000-2001,,9250000,,Italy,Wales
54,55,Mark Viduka,Centre-Forward,24,Celtic, Scotland,Leeds,Premier League,2000-2001,,9150000,,England,Australia
55,56,Pauleta,Centre-Forward,27,Dep. La Coruña,LaLiga,G. Bordeaux,Ligue 1,2000-2001,,9100000,,England,Portugal
56,57,Alpay Özalan,Centre-Back,27,Fenerbahce,Süper Lig,Aston Villa,Premier League,2000-2001,,9000000,,France,Turkey
57,58,Christian Ziege,Left Midfield,28,Middlesbrough,Premier League,Liverpool,Premier League,2000-2001,,9000000,,England,West Germany
58,59,Nick Barmby,Left Midfield,26,Everton,Premier League,Liverpool,Premier League,2000-2001,,9000000,,England,England
59,60,Marc-Vivien Foé,Central Midfield,25,West Ham,Premier League,Olympique Lyon,Ligue 1,2000-2001,,9000000,,England,Cameroon
60,61,Lúcio,Centre-Back,22,Internacional, Brazil,Bay. Leverkusen,1.Bundesliga,2000-2001,,8750000,True,France,Brazil
61,62,Christian Karembeu,Defensive Midfield,29,Real Madrid,LaLiga,Middlesbrough,Premier League,2000-2001,,8750000,,Germany,New Caledonia
62,63,Neil Lennon,Central Midfield,29,Leicester,Premier League,Celtic, Scotland,2000-2001,,8630000,,England,Northern Ireland
63,64,John Carew,Centre-Forward,20,Rosenborg BK,Eliteserien,Valencia CF,LaLiga,2000-2001,,8500000,,Scotland,Norway
64,65,Mario Stanic,Right Winger,28,Parma,Serie A,Chelsea,Premier League,2000-2001,,8400000,,Spain,"SR Bosnia and Herzegovina,SFR Yugoslavia"
65,66,Igor Biscan,Centre-Back,22,Dinamo Zagreb, Croatia,Liverpool,Premier League,2000-2001,,8250000,,England,SFR Yugoslavia
66,67,Julio Cruz,Centre-Forward,25,Feyenoord,Eredivisie,Bologna,Serie A,2000-2001,,8200000,,England,
67,68,Patrick Müller,Centre-Back,23,Grasshoppers,Super League,Olympique Lyon,Ligue 1,2000-2001,,8000000,,Italy,
68,69,Zlatko Zahovic,Attacking Midfield,29,Olympiacos,Super League,Valencia CF,LaLiga,2000-2001,,8000000,,France,SFR Yugoslavia
69,70,Sabri Lamouchi,Central Midfield,28,Monaco,Ligue 1,Parma,Serie A,2000-2001,,7850000,,Spain,France
70,71,Willy Sagnol,Right-Back,23,Monaco,Ligue 1,Bayern Munich ,1.Bundesliga,2000-2001,,7700000,,Italy,France
71,72,Johan Micoud,Attacking Midfield,26,G. Bordeaux,Ligue 1,Parma,Serie A,2000-2001,,7600000,,Germany,France
72,73,Martín Palermo,Centre-Forward,27,Boca Juniors, Argentina,Villarreal CF,LaLiga,2000-2001,,7600000,,Italy,Argentina
73,74,Ben Thatcher,Left-Back,24,MK Dons, England,Spurs,Premier League,2000-2001,,7540000,,Spain,England
74,75,Eidur Gudjohnsen,Centre-Forward,21,Bolton, England,Chelsea,Premier League,2000-2001,,7500000,,England,Iceland
75,76,Bruno Cirillo,Centre-Back,23,Reggina,Serie A,Inter,Serie A,2000-2001,,7500000,,England,Italy
76,77,Sunday Oliseh,Defensive Midfield,25,Juventus,Serie A,Bor. Dortmund,1.Bundesliga,2000-2001,,7500000,,Italy,Nigeria
77,78,Roger,Attacking Midfield,21,Fluminense, Brazil,Benfica,Liga NOS,2000-2001,,7500000,True,Germany,
78,79,Dino Baggio,Defensive Midfield,29,Parma,Serie A,Lazio,Serie A,2000-2001,,7500000,,Portugal,Italy
79,80,Diego Placente,Left-Back,23,River Plate, Argentina,Bay. Leverkusen,1.Bundesliga,2000-2001,,7300000,,Italy,Argentina
80,81,David Sesa,Second Striker,26,Lecce,Serie A,SSC Napoli,Serie A,2000-2001,,7250000,,Germany,Switzerland
81,82,Bert Konterman,Centre-Back,29,Feyenoord,Eredivisie,Rangers, Scotland,2000-2001,,7250000,,Italy,Netherlands
82,83,Dominic Matteo,Left-Back,26,Liverpool,Premier League,Leeds,Premier League,2000-2001,,7130000,,Scotland,Scotland
83,84,Mauro Germán Camoranesi,Right Midfield,24,CD Cruz Azul, Mexico,Hellas Verona,Serie A,2000-2001,,7000000,,England,
84,85,Rodrigo Tello,Left Midfield,21,U. de Chile, Chile,Sporting CP,Liga NOS,2000-2001,,7000000,,Italy,Chile
85,86,Luís Fabiano,Centre-Forward,19,Ponte Preta, Brazil,Stade Rennais,Ligue 1,2000-2001,,7000000,,Portugal,Brazil
86,87,Pierre van Hooijdonk,Centre-Forward,30,Vitesse,Eredivisie,Benfica,Liga NOS,2000-2001,,6800000,,France,Netherlands
87,88,Hermann Hreidarsson,Centre-Back,25,MK Dons, England,Ipswich,Premier League,2000-2001,,6750000,,Portugal,Iceland
88,89,Émerson Thome,Centre-Back,28,Chelsea,Premier League,Sunderland,Premier League,2000-2001,,6700000,,England,
89,90,Hakan Sükür,Centre-Forward,28,Galatasaray,Süper Lig,Inter,Serie A,2000-2001,,6500000,,England,
90,91,Philippe Delaye,Central Midfield,25,Montpellier,Ligue 2,Stade Rennais,Ligue 1,2000-2001,,6500000,,Italy,France
91,92,Alex Nyarko,Centre-Back,26,Lens,Ligue 1,Everton,Premier League,2000-2001,,6300000,,France,Ghana
92,93,Bob Peeters,Centre-Forward,26,Roda JC,Eredivisie,Vitesse,Eredivisie,2000-2001,,6300000,,England,Belgium
93,94,César Sánchez,Goalkeeper,28,Real Valladolid,LaLiga,Real Madrid,LaLiga,2000-2001,,6250000,,Netherlands,Spain
94,96,Patrick M'Boma,Centre-Forward,29,Cagliari Calcio,Serie B,Parma,Serie A,2000-2001,,6100000,,Spain,Cameroon
95,97,Claus Jensen,Attacking Midfield,23,Bolton, England,Charlton,Premier League,2000-2001,,6000000,,,Denmark
96,98,Lucas Bernardi,Central Midfield,22,Newell's, Argentina,Marseille,Ligue 1,2000-2001,,6000000,,Italy,Argentina
97,100,Frédéric Déhu,Centre-Back,27,FC Barcelona,LaLiga,Paris SG,Ligue 1,2000-2001,,6000000,,England,France
98,101,Esteban Fuertes,Centre-Forward,27,Derby,Premier League,Lens,Ligue 1,2000-2001,,6000000,,France,Argentina
99,103,Sebastián Cejas,Goalkeeper,26,Newell's, Argentina,AS Roma,Serie A,2000-2001,,6000000,,,Argentina
100,104,Zé Elias,Central Midfield,23,Bologna,Serie A,Olympiacos,Super League,2000-2001,,5800000,,France,Brazil
101,105,Joos Valgaeren,Centre-Back,24,Roda JC,Eredivisie,Celtic, Scotland,2000-2001,,5700000,,France,Belgium
102,107,Ronald de Boer,Right Winger,30,FC Barcelona,LaLiga,Rangers, Scotland,2000-2001,,5500000,,,Netherlands
103,108,Fernando Ricksen,Right-Back,23,AZ Alkmaar,Eredivisie,Rangers, Scotland,2000-2001,,5400000,,Italy,Netherlands
104,109,Duncan Ferguson,Centre-Forward,28,Newcastle,Premier League,Everton,Premier League,2000-2001,,5400000,,Greece,Scotland
105,110,Giorgi Demetradze,Centre-Forward,24,Dynamo Kyiv,Premier Liga,Real Sociedad,LaLiga,2000-2001,,5400000,,Scotland,Soviet Union
106,111,Christian Bassedas,Attacking Midfield,27,Vélez Sarsfield, Argentina,Newcastle,Premier League,2000-2001,,5300000,,,Argentina
107,112,José Luis Chilavert,Goalkeeper,35,Vélez Sarsfield, Argentina,R. Strasbourg,Ligue 1,2000-2001,,5300000,,Scotland,Paraguay
108,113,Roberto Ayala,Centre-Back,27,AC Milan,Serie A,Valencia CF,LaLiga,2000-2001,,5000000,,Scotland,Argentina
109,114,Viorel Moldovan,Centre-Forward,28,Fenerbahce,Süper Lig,FC Nantes,Ligue 1,2000-2001,,5000000,,England,Romania
110,115,Vratislav Gresko,Left-Back,23,Bay. Leverkusen,1.Bundesliga,Inter,Serie A,2000-2001,,5000000,,Spain,Czechoslovakia
111,116,Giorgi Kinkladze,Attacking Midfield,27,AFC Ajax,Eredivisie,Derby,Premier League,2000-2001,,5000000,,England,Soviet Union
112,118,Fernandão,Centre-Forward,22,Goiás EC, Brazil,Marseille,Ligue 1,2000-2001,,5000000,True,France,
113,120,Vicente,Left Winger,18,Levante UD,LaLiga2,Valencia CF,LaLiga,2000-2001,,4800000,True,Spain,
114,121,Julio Arca,Central Midfield,19,Argentinos, Argentina,Sunderland,Premier League,2000-2001,,4700000,,France,Argentina
115,122,Richard Dunne,Centre-Back,21,Everton,Premier League,Man City,Premier League,2000-2001,,4500000,,Italy,Ireland
116,123,Gary Rowett,Right-Back,26,Birmingham, England,Leicester,Premier League,2000-2001,,4500000,,England,England
117,124,Richard Núñez,Attacking Midfield,25,Danubio FC, Uruguay,Grasshoppers,Super League,2000-2001,,4500000,,,Uruguay
118,125,David Thompson,Right Midfield,22,Liverpool,Premier League,Coventry City,Premier League,2000-2001,,4500000,,France,
119,126,Alessandro Pistone,Left-Back,24,Newcastle,Premier League,Everton,Premier League,2000-2001,,4500000,,,Italy
120,127,Joseph-Désiré Job,Centre-Forward,22,Lens,Ligue 1,Middlesbrough,Premier League,2000-2001,,4500000,,Spain,France
121,128,Radostin Kishishev,Defensive Midfield,25,Litex Lovetch, Bulgaria,Charlton,Premier League,2000-2001,,4500000,,England,Bulgaria
122,129,Bernard Diomède,Left Winger,26,AJ Auxerre,Ligue 1,Liverpool,Premier League,2000-2001,,4500000,,England,France
123,130,Sixto Peralta,Central Midfield,21,Racing Club, Argentina,Inter,Serie A,2000-2001,,4500000,,England,Argentina
124,133,Marquinhos,Attacking Midfield,18,Avaí FC, Brazil,Bay. Leverkusen,1.Bundesliga,2000-2001,,4500000,True,Greece,Brazil
125,134,Alan Thompson,Left Midfield,26,Aston Villa,Premier League,Celtic, Scotland,2000-2001,,4400000,,England,
126,135,Jonatan Johansson,Centre-Forward,24,Rangers, Scotland,Charlton,Premier League,2000-2001,,4300000,,England,
127,136,Rodolfo Arruabarrena,Left-Back,24,Boca Juniors, Argentina,Villarreal CF,LaLiga,2000-2001,,4200000,,England,Argentina
128,137,Rigobert Song,Centre-Back,24,Liverpool,Premier League,West Ham,Premier League,2000-2001,,4100000,,England,Cameroon
129,138,José Francisco Molina,Goalkeeper,29,Atlético Madrid,LaLiga2,Dep. La Coruña,LaLiga,2000-2001,,4100000,,England,Spain
130,139,Jörg Heinrich,Left Midfield,30,Fiorentina,Serie A,Bor. Dortmund,1.Bundesliga,2000-2001,,4100000,,Italy,East Germany
131,140,Adrian Mutu,Centre-Forward,21,Inter,Serie A,Hellas Verona,Serie A,2000-2001,,4000000,,,Romania
132,141,Fernando Meira,Centre-Back,22,Vit. Guimarães,Liga NOS,Benfica,Liga NOS,2000-2001,,4000000,,,Portugal
133,142,Gianni Guigou,Defensive Midfield,25,Nacional, Uruguay,AS Roma,Serie A,2000-2001,,4000000,,Germany,Uruguay
134,143,Richard Dutruel,Goalkeeper,27,Celta de Vigo,LaLiga,FC Barcelona,LaLiga,2000-2001,,4000000,,Scotland,France
135,148,Niclas Alexandersson,Right Midfield,28,Sheff Wed, England,Everton,Premier League,2000-2001,,3800000,,England,Sweden
136,149,Darren Huckerby,Right Winger,24,Leeds,Premier League,Man City,Premier League,2000-2001,,3800000,,Spain,England
137,150,David Hopkin,Right Midfield,29,Leeds,Premier League,Bradford City,Premier League,2000-2001,,3750000,,England,Scotland
138,151,Alf-Inge Haland,Defensive Midfield,27,Leeds,Premier League,Man City,Premier League,2000-2001,,3750000,,Spain,Norway
139,152,Lomana LuaLua,Second Striker,19,Colchester Utd., England,Newcastle,Premier League,2000-2001,,3750000,,Germany,Zaire
140,153,Steve Watson,Right Midfield,26,Aston Villa,Premier League,Everton,Premier League,2000-2001,,3750000,,Italy,England
141,154,Lee Carsley,Defensive Midfield,26,Blackburn, England,Coventry City,Premier League,2000-2001,,3750000,,Portugal,England
142,155,Don Hutchison,Attacking Midfield,29,Everton,Premier League,Sunderland,Premier League,2000-2001,,3750000,,Italy,"
Gateshead,[1] England"
143,156,Didier Deschamps,Defensive Midfield,31,Chelsea,Premier League,Valencia CF,LaLiga,2000-2001,,3500000,,Spain,France
144,157,Santiago Solari,Left Midfield,23,Atlético Madrid,LaLiga2,Real Madrid,LaLiga,2000-2001,,3500000,,,Argentina
145,158,Thomas Gravesen,Defensive Midfield,24,Hamburger SV,1.Bundesliga,Everton,Premier League,2000-2001,,3500000,,,Denmark
146,159,Jeong-hwan Ahn,Centre-Forward,23,Busan IPark," Korea, South",Perugia,Serie A,2000-2001,,3500000,,,
147,160,Vasilios Tsiartas,Attacking Midfield,27,Sevilla FC,LaLiga2,AEK Athens,Super League,2000-2001,,3500000,,,Greece
148,161,Stephen Hughes,Defensive Midfield,23,Arsenal,Premier League,Everton,Premier League,2000-2001,,3500000,,England,
149,162,Marc Wilmots,Attacking Midfield,31,FC Schalke 04,1.Bundesliga,G. Bordeaux,Ligue 1,2000-2001,,3500000,,England,
150,163,Alen Boksic,Centre-Forward,30,Lazio,Serie A,Middlesbrough,Premier League,2000-2001,,3450000,,England,SFR Yugoslavia
151,167,Vratislav Lokvenc,Centre-Forward,26,Sparta Praha, Czech Republic,1.FC K'lautern,1.Bundesliga,2000-2001,,3150000,,England,Czechoslovakia
152,168,Aleksey Smertin,Defensive Midfield,25,Loko Moscow,Premier Liga,G. Bordeaux,Ligue 1,2000-2001,,3000000,,England,Soviet Union
153,169,Stjepan Tomas,Centre-Back,24,Dinamo Zagreb, Croatia,Vicenza,Serie A,2000-2001,,3000000,,England,"SR Bosnia and Herzegovina,SFR Yugoslavia"
154,171,Emmanuel Olisadebe,Centre-Forward,22,Pol. Warsaw,Ekstraklasa,Panathinaikos,Super League,2000-2001,,3000000,,England,Nigeria
155,172,Danny Higginbotham,Centre-Back,21,Man Utd,Premier League,Derby,Premier League,2000-2001,,3000000,,England,England
156,173,Andrew O'Brien,Centre-Back,21,Bradford City,Premier League,Newcastle,Premier League,2000-2001,,3000000,,Spain,
157,174,Antonio Pacheco,Second Striker,24,Peñarol, Uruguay,Inter,Serie A,2000-2001,,3000000,,Spain,
158,175,Noel Whelan,Centre-Forward,25,Coventry City,Premier League,Middlesbrough,Premier League,2000-2001,,3000000,,England,England
159,176,Changui,Centre-Forward,23,SD Compostela,LaLiga2,Dep. La Coruña,LaLiga,2000-2001,,3000000,,Italy,
160,177,Shaun Bartlett,Centre-Forward,28,FC Zürich,Super League,Charlton,Premier League,2000-2001,,3000000,,Greece,South Africa
161,178,Dmitri Alenichev,Central Midfield,27,AS Roma,Serie A,FC Porto,Liga NOS,2000-2001,,3000000,,England,Soviet Union
162,180,Oktay Derelioglu,Centre-Forward,24,Siirtspor,Süper Lig,UD Las Palmas,LaLiga,2000-2001,,3000000,,France,Turkey
163,181,Bjørn Otto Bragstad,Centre-Back,29,Rosenborg BK,Eliteserien,Derby,Premier League,2000-2001,,3000000,,England,Norway
164,182,Kenny Miller,Centre-Forward,20,Hibernian FC, Scotland,Rangers, Scotland,2000-2001,,3000000,True,,Scotland
165,183,Johan Elmander,Centre-Forward,19,Örgryte, Sweden,Feyenoord,Eredivisie,2000-2001,,2900000,,,Sweden
166,184,Milan Fukal,Centre-Back,25,Sparta Praha, Czech Republic,Hamburger SV,1.Bundesliga,2000-2001,,2900000,,,Czechoslovakia
167,186,Marcel Ketelaer,Left Midfield,22,Bor. M'gladbach,2.Bundesliga,Hamburger SV,1.Bundesliga,2000-2001,,2800000,,Germany,West Germany
168,188,Didier Martel,Forward,28,FC Utrecht,Eredivisie,Vitesse,Eredivisie,2000-2001,,2750000,,France,France
169,189,Bernard Mendy,Right-Back,18,SM Caen,Ligue 2,Paris SG,Ligue 1,2000-2001,,2700000,,Italy,France
170,190,Danijel Ljuboja,Centre-Forward,21,FC Sochaux,Ligue 2,R. Strasbourg,Ligue 1,2000-2001,,2700000,,,"SR Croatia,SFR Yugoslavia"
171,191,Tomás Galásek,Defensive Midfield,27,Willem II,Eredivisie,AFC Ajax,Eredivisie,2000-2001,,2700000,,Greece,Czechoslovakia  (now Czech Republic)
172,193,Gabriel Schürrer,Centre-Back,28,Dep. La Coruña,LaLiga,UD Las Palmas,LaLiga,2000-2001,,2700000,,England,Argentina
173,195,Gary Naysmith,Left-Back,21,Heart of Midl., Scotland,Everton,Premier League,2000-2001,,2630000,,England,Scotland
174,196,Petri Pasanen,Centre-Back,19,FC Lahti, Finland,AFC Ajax,Eredivisie,2000-2001,,2600000,,Italy,Finland
175,197,Christian Dailly,Centre-Back,27,Blackburn, England,West Ham,Premier League,2000-2001,,2600000,,England,"
Dundee,[1] Scotland"
176,198,Jesper Christiansen,Goalkeeper,22,Odense BK, Denmark,Rangers, Scotland,2000-2001,,2550000,,Spain,
177,200,Tim Cornelisse,Right-Back,22,RKC Waalwijk,Eredivisie,Vitesse,Eredivisie,2000-2001,,2500000,,England,Netherlands
178,201,Abdelilah Saber,Right-Back,26,Sporting CP,Liga NOS,SSC Napoli,Serie A,2000-2001,,2500000,,Portugal,Morocco
179,202,Callum Davidson,Left-Back,24,Blackburn, England,Leicester,Premier League,2000-2001,,2500000,,,Scotland
180,204,Ole Martin Arst,Centre-Forward,25,KAA Gent,Jupiler Pro League,Standard Liège,Jupiler Pro League,2000-2001,,2500000,,Spain,Norway
181,205,Feliciano Magro,Attacking Midfield,21,Grasshoppers,Super League,Udinese Calcio,Serie A,2000-2001,,2500000,,England,Switzerland
182,206,Jean-François Gillet,Goalkeeper,21,Monza,Serie B,Bari,Serie A,2000-2001,,2500000,True,Scotland,Belgium
183,207,Dimitar Berbatov,Centre-Forward,19,CSKA Sofia, Bulgaria,Bay. Leverkusen,1.Bundesliga,2000-2001,,2500000,,Netherlands,Bulgaria
184,211,Edgaras Jankauskas,Centre-Forward,25,Club Brugge,Jupiler Pro League,Real Sociedad,LaLiga,2000-2001,,2300000,,Germany,Soviet Union
185,214,Ciriaco Sforza,Central Midfield,30,1.FC K'lautern,1.Bundesliga,Bayern Munich ,1.Bundesliga,2000-2001,,2300000,,,Switzerland
186,217,Karel Poborsky,Right Midfield,28,Benfica,Liga NOS,Lazio,Serie A,2000-2001,,2250000,,Germany,Czechoslovakia
187,218,Rab Douglas,Goalkeeper,28,Dundee FC, Scotland,Celtic, Scotland,2000-2001,,2250000,,,Scotland
188,220,Trevor Benjamin,Centre-Forward,21,Cambridge Utd., England,Leicester,Premier League,2000-2001,,2250000,,Netherlands,England
189,222,Peter Lövenkrands,Centre-Forward,20,Akademisk BK, Denmark,Rangers, Scotland,2000-2001,,2200000,,France,
190,223,Ivica Dragutinovic,Centre-Back,24,KAA Gent,Jupiler Pro League,Standard Liège,Jupiler Pro League,2000-2001,,2200000,,France,SFR Yugoslavia
191,224,Francesc Arnau,Goalkeeper,25,FC Barcelona,LaLiga,Málaga CF,LaLiga,2000-2001,,2100000,,Netherlands,Spain
192,225,Bernt Haas,Right-Back,22,Grasshoppers,Super League,Sunderland,Premier League,2000-2001,,2100000,,,Austria
193,226,Pascal Ojigwe,Defensive Midfield,23,1. FC Köln,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2000-2001,,2100000,,Spain,Nigeria
194,227,Chris Makin,Left-Back,27,Sunderland,Premier League,Ipswich,Premier League,2000-2001,,2100000,,,England
195,228,Frank Verlaat,Centre-Back,32,AFC Ajax,Eredivisie,Werder Bremen,1.Bundesliga,2000-2001,,2100000,,England,Netherlands
196,229,Ashley Ward,Centre-Forward,29,Blackburn, England,Bradford City,Premier League,2000-2001,,2100000,,Netherlands,England
197,232,Hervé Tum,Centre-Forward,21,FC Sion,Super League,FC Basel,Super League,2000-2001,,2000000,,England,Cameroon
198,234,Elvir Bolic,Centre-Forward,28,Fenerbahce,Süper Lig,Rayo Vallecano,LaLiga,2000-2001,,2000000,,Scotland,SFR Yugoslavia
199,235,Aleksandr Panov,Centre-Forward,24,Zenit S-Pb,Premier Liga,Saint-Étienne,Ligue 1,2000-2001,,2000000,,,
200,238,Slavisa Jokanovic,Defensive Midfield,32,Dep. La Coruña,LaLiga,Chelsea,Premier League,2000-2001,,1900000,,Netherlands,Yugoslavia
201,239,José Amavisca,Left Midfield,29,Racing,LaLiga,Dep. La Coruña,LaLiga,2000-2001,,1900000,,Italy,Spain
202,240,Ivica Banovic,Defensive Midfield,19,NK Zagreb, Croatia,Werder Bremen,1.Bundesliga,2000-2001,,1900000,,England,SFR Yugoslavia
203,241,Tommy Berntsen,Centre-Back,27,Lilleström SK,Eliteserien,E. Frankfurt,1.Bundesliga,2000-2001,,1880000,,,Norway
204,242,Patricio Camps,Forward,28,Vélez Sarsfield, Argentina,PAOK Saloniki,Super League,2000-2001,,1850000,,Belgium,Argentina
