,date,home_team,away_team,home_score,away_score,tournament,neutral,winner,GD,home_team_curr_form,away_team_curr_form,home_team_home_form,home_rank,away_rank,rank_diff
273,2002-10-12,Portugal,Tunisia,1,1,Friendly,False,Draw,0,5,4,8,11,41,30
274,2002-10-12,Slovakia,England,1,2,UEFA Euro qualification,False,England,1,4,8,1,55,7,48
275,2002-10-12,Spain,Northern Ireland,3,0,UEFA Euro qualification,False,Spain,3,10,0,13,3,103,100
276,2002-10-12,Ukraine,Greece,2,0,UEFA Euro qualification,False,Ukraine,2,5,7,9,45,48,3
277,2002-10-15,Scotland,Canada,3,1,Friendly,False,Scotland,2,7,1,6,59,70,11
278,2002-10-16,Austria,Netherlands,0,3,UEFA Euro qualification,False,Netherlands,3,1,15,3,54,6,48
279,2002-10-16,England,North Macedonia,2,2,UEFA Euro qualification,False,Draw,0,8,2,6,7,85,78
280,2002-10-16,Estonia,Belgium,0,1,UEFA Euro qualification,False,Belgium,1,0,7,2,60,17,43
281,2002-10-16,Germany,Faroe Islands,2,1,UEFA Euro qualification,False,Germany,1,8,2,10,4,114,110
282,2002-10-16,Greece,Armenia,2,0,UEFA Euro qualification,False,Greece,2,9,0,8,48,107,59
283,2002-10-16,Malta,France,0,4,UEFA Euro qualification,False,France,4,0,10,0,122,2,120
284,2002-10-16,Spain,Paraguay,0,0,Friendly,False,Draw,0,8,1,13,3,18,15
285,2002-10-16,Sweden,Portugal,2,3,Friendly,False,Portugal,1,3,8,8,25,11,14
286,2002-10-16,Wales,Italy,2,1,UEFA Euro qualification,False,Wales,1,6,4,6,52,13,39
287,2002-11-20,France,Serbia,3,0,Friendly,False,France,3,13,2,7,2,201,199
288,2002-11-20,Germany,Netherlands,1,3,Friendly,False,Netherlands,2,8,15,9,4,6,2
289,2002-11-20,Greece,Republic of Ireland,0,0,Friendly,False,Draw,0,7,6,8,48,14,34
290,2002-11-20,Italy,Turkey,1,1,Friendly,False,Draw,0,5,5,5,13,9,4
291,2002-11-20,Portugal,Scotland,2,0,Friendly,False,Portugal,2,8,7,8,11,59,48
292,2002-11-20,Spain,Bulgaria,1,0,Friendly,False,Spain,1,11,4,13,3,42,39
293,2003-01-29,Cyprus,Greece,1,2,Friendly,False,Greece,1,3,7,0,97,30,67
294,2003-02-12,Algeria,Belgium,1,3,Friendly,False,Belgium,2,1,10,0,62,16,46
295,2003-02-12,England,Australia,1,3,Friendly,False,Australia,2,5,10,3,8,82,74
296,2003-02-12,France,Czech Republic,0,2,Friendly,False,Czech Republic,2,12,7,7,2,6,4
297,2003-02-12,Greece,Norway,1,0,Friendly,False,Greece,1,10,6,10,30,42,12
298,2003-02-12,Italy,Portugal,1,0,Friendly,False,Italy,1,8,8,5,10,17,7
299,2003-02-12,Netherlands,Argentina,1,0,Friendly,False,Netherlands,1,15,7,13,4,5,1
300,2003-02-12,Scotland,Republic of Ireland,0,2,Friendly,False,Republic of Ireland,2,7,8,3,54,14,40
301,2003-02-12,Spain,Germany,3,1,Friendly,False,Spain,2,13,7,13,3,12,9
302,2003-03-26,Austria,Greece,2,2,Friendly,False,Draw,0,2,11,3,67,30,37
303,2003-03-29,Croatia,Belgium,4,0,UEFA Euro qualification,False,Croatia,4,11,9,8,20,16,4
304,2003-03-29,France,Malta,6,0,UEFA Euro qualification,False,France,6,12,0,10,2,129,127
305,2003-03-29,Germany,Lithuania,1,1,UEFA Euro qualification,False,Draw,0,5,2,7,12,101,89
306,2003-03-29,Italy,Finland,2,0,UEFA Euro qualification,False,Italy,2,8,10,8,10,40,30
307,2003-03-29,Liechtenstein,England,0,2,UEFA Euro qualification,False,England,2,0,8,0,148,8,140
308,2003-03-29,Netherlands,Czech Republic,1,1,UEFA Euro qualification,False,Draw,0,13,8,11,4,6,2
309,2003-03-29,Portugal,Brazil,2,1,Friendly,False,Portugal,1,10,10,11,17,1,16
310,2003-03-29,Scotland,Iceland,2,1,UEFA Euro qualification,False,Scotland,1,9,1,6,54,58,4
311,2003-03-29,Ukraine,Spain,2,2,UEFA Euro qualification,False,Draw,0,5,11,7,60,3,57
312,2003-04-02,England,Turkey,2,0,UEFA Euro qualification,False,England,2,10,2,5,8,8,0
313,2003-04-02,Israel,France,1,2,UEFA Euro qualification,True,France,1,1,12,2,51,2,49
314,2003-04-02,Lithuania,Scotland,1,0,UEFA Euro qualification,False,Lithuania,1,5,6,8,101,54,47
315,2003-04-02,North Macedonia,Portugal,0,1,Friendly,True,Portugal,1,2,12,0,92,17,75
316,2003-04-02,Moldova,Netherlands,1,2,UEFA Euro qualification,False,Netherlands,1,0,13,0,106,4,102
317,2003-04-02,Northern Ireland,Greece,0,2,UEFA Euro qualification,False,Greece,2,0,11,0,122,30,92
318,2003-04-02,Spain,Armenia,3,0,UEFA Euro qualification,False,Spain,3,11,0,13,3,113,110
319,2003-04-30,Belgium,Poland,3,1,Friendly,False,Belgium,2,12,2,10,16,25,9
320,2003-04-30,France,Egypt,5,0,Friendly,False,France,5,12,4,12,2,32,30
321,2003-04-30,Germany,Serbia,1,0,Friendly,False,Germany,1,7,2,7,12,201,189
322,2003-04-30,Netherlands,Portugal,1,1,Friendly,False,Draw,0,11,10,11,4,17,13
323,2003-04-30,Scotland,Austria,0,2,Friendly,False,Austria,2,3,4,6,54,67,13
324,2003-04-30,Slovakia,Greece,2,2,Friendly,False,Draw,0,5,11,2,50,30,20
325,2003-04-30,Spain,Ecuador,4,0,Friendly,False,Spain,4,13,0,13,3,37,34
326,2003-04-30,Switzerland,Italy,1,2,Friendly,False,Italy,1,4,10,3,44,10,34
327,2003-05-22,South Africa,England,1,2,Friendly,False,England,1,4,10,2,36,8,28
328,2003-05-27,Scotland,New Zealand,1,1,Friendly,False,Draw,0,4,1,7,54,88,34
329,2003-06-01,Germany,Canada,4,1,Friendly,False,Germany,3,7,1,10,12,87,75
330,2003-06-03,England,Serbia,2,1,Friendly,False,England,1,12,2,8,8,201,193
331,2003-06-03,Italy,Northern Ireland,2,0,Friendly,False,Italy,2,13,0,11,10,122,112
332,2003-06-06,Portugal,Paraguay,0,0,Friendly,False,Draw,0,8,2,11,17,22,5
333,2003-06-07,Belarus,Netherlands,0,2,UEFA Euro qualification,False,Netherlands,2,2,11,4,90,4,86
334,2003-06-07,Bulgaria,Belgium,2,2,UEFA Euro qualification,False,Draw,0,5,10,6,34,16,18
335,2003-06-07,Scotland,Germany,1,1,UEFA Euro qualification,False,Draw,0,5,8,5,54,12,42
336,2003-06-07,Spain,Greece,0,1,UEFA Euro qualification,False,Greece,1,10,11,12,3,30,27
337,2003-06-10,Portugal,Bolivia,4,0,Friendly,False,Portugal,4,11,1,11,17,99,82
338,2003-06-11,Belgium,Andorra,3,0,UEFA Euro qualification,False,Belgium,3,10,0,12,16,147,131
339,2003-06-11,England,Slovakia,2,1,UEFA Euro qualification,False,England,1,15,2,10,8,50,42
340,2003-06-11,Faroe Islands,Germany,0,2,UEFA Euro qualification,False,Germany,2,2,11,2,126,12,114
341,2003-06-11,Finland,Italy,0,2,UEFA Euro qualification,False,Italy,2,7,15,8,40,10,30
342,2003-06-11,Greece,Ukraine,1,0,UEFA Euro qualification,False,Greece,1,11,5,10,30,60,30
343,2003-06-11,Northern Ireland,Spain,0,0,UEFA Euro qualification,False,Draw,0,1,8,1,122,3,119
344,2003-06-18,France,Colombia,1,0,Confederations Cup,False,France,1,12,1,12,2,39,37
345,2003-06-20,France,Japan,2,1,Confederations Cup,False,France,1,15,2,12,2,29,27
346,2003-06-22,France,New Zealand,5,0,Confederations Cup,False,France,5,15,1,15,2,88,86
347,2003-06-26,France,Turkey,3,2,Confederations Cup,False,France,1,15,2,15,2,8,6
348,2003-06-29,France,Cameroon,1,0,Confederations Cup,False,France,1,15,2,15,2,14,12
349,2003-08-20,Belgium,Netherlands,1,1,Friendly,False,Draw,0,8,9,10,16,4,12
350,2003-08-20,England,Croatia,3,1,Friendly,False,England,2,15,10,12,8,20,12
351,2003-08-20,Germany,Italy,0,1,Friendly,False,Italy,1,10,15,7,12,10,2
352,2003-08-20,Norway,Scotland,0,0,Friendly,False,Draw,0,4,3,4,42,54,12
353,2003-08-20,Portugal,Kazakhstan,1,0,Friendly,False,Portugal,1,11,0,13,17,136,119
354,2003-08-20,Sweden,Greece,1,2,Friendly,False,Greece,1,3,13,7,19,30,11
355,2003-08-20,Switzerland,France,0,2,Friendly,False,France,2,3,15,3,44,2,42
356,2003-09-06,Armenia,Greece,0,1,UEFA Euro qualification,False,Greece,1,0,13,1,113,30,83
357,2003-09-06,France,Cyprus,5,0,UEFA Euro qualification,False,France,5,15,3,15,2,97,95
358,2003-09-06,Iceland,Germany,0,0,UEFA Euro qualification,False,Draw,0,2,8,5,58,12,46
359,2003-09-06,Italy,Wales,4,0,UEFA Euro qualification,False,Italy,4,15,6,13,10,66,56
360,2003-09-06,North Macedonia,England,1,2,UEFA Euro qualification,False,England,1,1,15,0,92,8,84
361,2003-09-06,Netherlands,Austria,3,1,UEFA Euro qualification,False,Netherlands,2,11,4,11,4,67,63
362,2003-09-06,Portugal,Spain,0,3,Friendly,False,Spain,3,8,10,10,17,3,14
363,2003-09-06,Scotland,Faroe Islands,3,1,UEFA Euro qualification,False,Scotland,2,6,2,8,54,126,72
364,2003-09-10,Belgium,Croatia,2,1,UEFA Euro qualification,False,Belgium,1,11,9,10,16,20,4
365,2003-09-10,Czech Republic,Netherlands,3,1,UEFA Euro qualification,False,Czech Republic,2,11,8,7,6,4,2
366,2003-09-10,England,Liechtenstein,2,0,UEFA Euro qualification,False,England,2,15,0,15,8,148,140
367,2003-09-10,Germany,Scotland,2,1,UEFA Euro qualification,False,Germany,1,8,6,10,12,54,42
368,2003-09-10,Norway,Portugal,0,1,Friendly,False,Portugal,1,1,10,4,42,17,25
369,2003-09-10,Serbia,Italy,1,1,UEFA Euro qualification,False,Draw,0,2,13,2,201,10,191
370,2003-09-10,Slovenia,France,0,2,UEFA Euro qualification,False,France,2,3,15,1,31,2,29
371,2003-09-10,Spain,Ukraine,2,1,UEFA Euro qualification,False,Spain,1,10,4,12,3,60,57
372,2003-10-11,Armenia,Spain,0,4,UEFA Euro qualification,False,Spain,4,0,10,1,113,3,110
373,2003-10-11,Belgium,Estonia,2,0,UEFA Euro qualification,False,Belgium,2,11,0,13,16,68,52
374,2003-10-11,France,Israel,3,0,UEFA Euro qualification,False,France,3,15,1,15,2,51,49
375,2003-10-11,Germany,Iceland,3,0,UEFA Euro qualification,False,Germany,3,10,1,12,12,58,46
376,2003-10-11,Greece,Northern Ireland,1,0,UEFA Euro qualification,False,Greece,1,15,1,13,30,122,92
377,2003-10-11,Italy,Azerbaijan,4,0,UEFA Euro qualification,False,Italy,4,13,0,15,10,119,109
378,2003-10-11,Netherlands,Moldova,5,0,UEFA Euro qualification,False,Netherlands,5,10,0,11,4,106,102
379,2003-10-11,Portugal,Albania,5,3,Friendly,False,Portugal,2,12,0,10,17,89,72
380,2003-10-11,Scotland,Lithuania,1,0,UEFA Euro qualification,False,Scotland,1,8,5,8,54,101,47
381,2003-10-11,Turkey,England,0,0,UEFA Euro qualification,False,Draw,0,3,13,4,8,8,0
382,2003-11-12,Poland,Italy,3,1,Friendly,False,Poland,2,5,10,6,25,10,15
383,2003-11-15,Germany,France,0,3,Friendly,False,France,3,7,15,9,12,2,10
384,2003-11-15,Portugal,Greece,1,1,Friendly,False,Draw,0,10,13,10,17,30,13
385,2003-11-15,Scotland,Netherlands,1,0,UEFA Euro qualification,False,Scotland,1,10,7,11,54,4,50
386,2003-11-15,Spain,Norway,2,1,UEFA Euro qualification,False,Spain,1,13,1,12,3,42,39
387,2003-11-16,England,Denmark,2,3,Friendly,False,Denmark,1,10,10,12,8,13,5
388,2003-11-16,Italy,Romania,1,0,Friendly,False,Italy,1,10,0,15,10,27,17
389,2003-11-19,Netherlands,Scotland,6,0,UEFA Euro qualification,False,Netherlands,6,9,9,11,4,54,50
390,2003-11-19,Norway,Spain,0,3,UEFA Euro qualification,False,Spain,3,1,15,4,42,3,39
391,2003-11-19,Portugal,Kuwait,8,0,Friendly,False,Portugal,8,10,0,10,17,48,31
392,2004-02-18,Belgium,France,0,2,Friendly,False,France,2,10,15,10,45,2,43
393,2004-02-18,Croatia,Germany,1,2,Friendly,False,Germany,1,6,10,8,23,19,4
394,2004-02-18,Greece,Bulgaria,2,0,Friendly,False,Greece,2,13,5,13,18,37,19
395,2004-02-18,Italy,Czech Republic,2,2,Friendly,False,Draw,0,8,11,13,10,4,6
396,2004-02-18,Netherlands,United States,1,0,Friendly,False,Netherlands,1,9,3,13,6,11,5
397,2004-02-18,Portugal,England,1,1,Friendly,False,Draw,0,11,8,8,9,8,1
398,2004-02-18,Spain,Peru,2,1,Friendly,False,Spain,1,15,1,12,5,66,61
399,2004-02-18,Wales,Scotland,4,0,Friendly,False,Wales,4,9,6,9,68,86,18
400,2004-03-31,Germany,Belgium,3,0,Friendly,False,Germany,3,12,7,9,19,45,26
401,2004-03-31,Greece,Switzerland,1,0,Friendly,False,Greece,1,13,2,15,18,51,33
402,2004-03-31,Netherlands,France,0,0,Friendly,False,Draw,0,10,13,13,6,2,4
403,2004-03-31,Portugal,Italy,1,2,Friendly,False,Italy,1,8,10,8,9,10,1
404,2004-03-31,Scotland,Romania,1,2,Friendly,False,Romania,1,6,3,10,86,29,57
405,2004-03-31,Spain,Denmark,2,0,Friendly,False,Spain,2,15,9,12,5,14,9
406,2004-03-31,Sweden,England,1,0,Friendly,False,Sweden,1,5,5,7,13,8,5
407,2004-04-28,Belgium,Turkey,2,3,Friendly,False,Turkey,1,6,5,7,45,14,31
408,2004-04-28,Denmark,Scotland,1,0,Friendly,False,Denmark,1,9,3,10,14,86,72
409,2004-04-28,Italy,Spain,1,1,Friendly,False,Draw,0,8,13,11,10,5,5
410,2004-04-28,Netherlands,Greece,4,0,Friendly,False,Netherlands,4,10,10,13,6,18,12
411,2004-04-28,Portugal,Sweden,2,2,Friendly,False,Draw,0,6,5,6,9,13,4
412,2004-04-28,Romania,Germany,5,1,Friendly,False,Romania,4,6,9,6,29,19,10
413,2004-05-20,France,Brazil,0,0,Friendly,False,Draw,0,11,10,13,2,1,1
414,2004-05-27,Estonia,Scotland,0,1,Friendly,False,Scotland,1,0,3,1,81,86,5
415,2004-05-27,Germany,Malta,7,0,Friendly,False,Germany,7,9,0,12,19,134,115
416,2004-05-28,France,Andorra,4,0,Friendly,False,France,4,11,0,13,2,138,136
417,2004-05-29,Netherlands,Belgium,0,1,Friendly,False,Belgium,1,10,6,10,6,45,39
418,2004-05-29,Poland,Greece,1,0,Friendly,False,Poland,1,7,7,9,25,18,7
419,2004-05-29,Portugal,Luxembourg,3,0,Friendly,False,Portugal,3,8,1,8,9,155,146
420,2004-05-30,Scotland,Trinidad and Tobago,4,1,Friendly,False,Scotland,3,6,0,12,86,63,23
421,2004-05-30,Tunisia,Italy,0,4,Friendly,False,Italy,4,3,11,4,35,10,25
422,2004-06-01,England,Japan,1,1,Friendly,False,Draw,0,3,3,10,8,17,9
423,2004-06-01,Netherlands,Faroe Islands,3,0,Friendly,True,Netherlands,3,10,1,10,6,131,125
424,2004-06-02,Switzerland,Germany,0,2,Friendly,False,Germany,2,1,12,2,51,19,32
425,2004-06-03,Liechtenstein,Greece,0,2,Friendly,False,Greece,2,0,9,0,142,18,124
426,2004-06-05,England,Iceland,6,1,Friendly,False,England,5,5,1,10,8,93,85
427,2004-06-05,Netherlands,Republic of Ireland,0,1,Friendly,False,Republic of Ireland,1,7,8,7,6,12,6
428,2004-06-05,Portugal,Lithuania,4,1,Friendly,False,Portugal,3,8,4,8,9,100,91
429,2004-06-05,Spain,Andorra,4,0,Friendly,False,Spain,4,13,0,15,5,138,133
430,2004-06-06,France,Ukraine,1,0,Friendly,False,France,1,11,4,13,2,57,55
431,2004-06-06,Germany,Hungary,0,2,Friendly,False,Hungary,2,9,5,9,19,64,45
432,2004-06-12,Portugal,Greece,1,2,UEFA Euro,False,Greece,1,7,9,7,9,18,9
433,2004-06-12,Spain,Russia,1,0,UEFA Euro,True,Spain,1,13,3,15,5,32,27
434,2004-06-13,France,England,2,1,UEFA Euro,True,France,1,11,5,13,2,8,6
435,2004-06-14,Denmark,Italy,0,0,UEFA Euro,True,Draw,0,10,9,8,14,10,4
436,2004-06-15,Germany,Netherlands,1,1,UEFA Euro,True,Draw,0,7,7,7,19,6,13
437,2004-06-16,Greece,Spain,1,1,UEFA Euro,True,Draw,0,7,11,13,18,5,13
438,2004-06-16,Portugal,Russia,2,0,UEFA Euro,False,Portugal,2,10,2,10,9,32,23
439,2004-06-17,Croatia,France,2,2,UEFA Euro,True,Draw,0,4,11,8,23,2,21
440,2004-06-17,England,Switzerland,3,0,UEFA Euro,True,England,3,7,0,10,8,51,43
441,2004-06-18,Italy,Sweden,1,1,UEFA Euro,True,Draw,0,9,5,9,10,13,3
442,2004-06-19,Latvia,Germany,0,0,UEFA Euro,True,Draw,0,1,8,2,65,19,46
443,2004-06-19,Netherlands,Czech Republic,2,3,UEFA Euro,True,Czech Republic,1,4,11,6,6,4,2
444,2004-06-20,Portugal,Spain,1,0,UEFA Euro,False,Portugal,1,12,8,12,9,5,4
445,2004-06-20,Russia,Greece,2,1,UEFA Euro,True,Russia,1,4,7,8,32,18,14
446,2004-06-21,Croatia,England,2,4,UEFA Euro,True,England,2,1,10,7,23,8,15
447,2004-06-21,Switzerland,France,1,3,UEFA Euro,True,France,2,0,13,1,51,2,49
448,2004-06-22,Italy,Bulgaria,2,1,UEFA Euro,True,Italy,1,9,4,9,10,37,27
449,2004-06-23,Germany,Czech Republic,1,2,UEFA Euro,True,Czech Republic,1,5,11,7,19,4,15
450,2004-06-23,Netherlands,Latvia,3,0,UEFA Euro,True,Netherlands,3,7,1,6,6,65,59
451,2004-06-24,Portugal,England,2,2,UEFA Euro,False,Portugal,0,12,9,12,9,8,1
452,2004-06-25,France,Greece,0,1,UEFA Euro,True,Greece,1,10,10,10,2,18,16
453,2004-06-26,Sweden,Netherlands,0,0,UEFA Euro,True,Netherlands,0,5,7,4,13,6,7
454,2004-06-30,Portugal,Netherlands,2,1,UEFA Euro,False,Portugal,1,12,7,12,9,6,3
455,2004-07-01,Greece,Czech Republic,1,0,UEFA Euro,True,Greece,1,10,10,13,18,4,14
456,2004-07-04,Portugal,Greece,0,1,UEFA Euro,False,Greece,1,12,10,12,9,18,9
457,2004-08-18,Austria,Germany,1,3,Friendly,False,Germany,2,4,5,2,83,19,64
458,2004-08-18,Czech Republic,Greece,0,0,Friendly,False,Draw,0,8,10,8,4,18,14
459,2004-08-18,England,Ukraine,3,0,Friendly,False,England,3,9,1,10,8,57,49
460,2004-08-18,France,Bosnia and Herzegovina,1,1,Friendly,False,Draw,0,8,2,10,2,79,77
461,2004-08-18,Iceland,Italy,2,0,Friendly,False,Iceland,2,4,8,5,93,10,83
462,2004-08-18,Norway,Belgium,2,2,Friendly,False,Draw,0,2,4,2,35,45,10
463,2004-08-18,Scotland,Hungary,0,3,Friendly,False,Hungary,3,6,7,9,86,64,22
464,2004-08-18,Spain,Venezuela,3,2,Friendly,False,Spain,1,10,0,15,5,62,57
465,2004-08-18,Sweden,Netherlands,2,2,Friendly,False,Draw,0,6,7,4,13,6,7
466,2004-09-03,Netherlands,Liechtenstein,3,0,Friendly,False,Netherlands,3,10,0,9,6,142,136
467,2004-09-03,Spain,Scotland,1,1,Friendly,False,Draw,0,8,7,13,5,86,81
468,2004-09-04,Albania,Greece,2,1,FIFA World Cup qualification,False,Albania,1,3,10,7,86,18,68
469,2004-09-04,Austria,England,2,2,FIFA World Cup qualification,False,Draw,0,5,10,3,83,8,75
470,2004-09-04,Belgium,Lithuania,1,1,FIFA World Cup qualification,False,Draw,0,5,5,7,45,100,55
471,2004-09-04,France,Israel,0,0,FIFA World Cup qualification,False,Draw,0,6,2,8,2,48,46
472,2004-09-04,Italy,Norway,2,1,FIFA World Cup qualification,False,Italy,1,8,1,9,10,35,25
473,2004-09-04,Latvia,Portugal,0,2,FIFA World Cup qualification,False,Portugal,2,1,12,2,65,9,56
474,2004-09-08,Bosnia and Herzegovina,Spain,1,1,FIFA World Cup qualification,False,Draw,0,3,6,2,79,5,74
475,2004-09-08,Faroe Islands,France,0,2,FIFA World Cup qualification,False,France,2,0,8,2,131,2,129
476,2004-09-08,Germany,Brazil,1,1,Friendly,False,Draw,0,6,8,5,19,1,18
477,2004-09-08,Greece,Turkey,0,0,FIFA World Cup qualification,False,Draw,0,8,5,11,18,14,4
478,2004-09-08,Moldova,Italy,0,1,FIFA World Cup qualification,False,Italy,1,0,10,0,114,10,104
479,2004-09-08,Netherlands,Czech Republic,2,0,FIFA World Cup qualification,False,Netherlands,2,10,7,9,6,4,2
480,2004-09-08,Poland,England,1,2,FIFA World Cup qualification,False,England,1,7,10,8,25,8,17
481,2004-09-08,Portugal,Estonia,4,0,FIFA World Cup qualification,False,Portugal,4,12,0,12,9,81,72
482,2004-09-08,Scotland,Slovenia,0,0,FIFA World Cup qualification,False,Draw,0,8,4,7,86,42,44
483,2004-10-09,England,Wales,2,0,FIFA World Cup qualification,False,England,2,10,9,13,8,68,60
484,2004-10-09,France,Republic of Ireland,0,0,FIFA World Cup qualification,False,Draw,0,6,8,6,2,12,10
485,2004-10-09,Iran,Germany,0,2,Friendly,False,Germany,2,0,8,0,20,19,1
486,2004-10-09,Liechtenstein,Portugal,2,2,FIFA World Cup qualification,False,Draw,0,1,10,1,142,9,133
487,2004-10-09,North Macedonia,Netherlands,2,2,FIFA World Cup qualification,False,Draw,0,2,8,1,92,6,86
488,2004-10-09,Scotland,Norway,0,1,FIFA World Cup qualification,False,Norway,1,5,4,4,86,35,51
489,2004-10-09,Slovenia,Italy,1,0,FIFA World Cup qualification,False,Slovenia,1,7,9,3,42,10,32
490,2004-10-09,Spain,Belgium,2,0,FIFA World Cup qualification,False,Spain,2,8,5,13,5,45,40
491,2004-10-09,Ukraine,Greece,1,1,FIFA World Cup qualification,False,Draw,0,1,6,7,57,18,39
492,2004-10-13,Azerbaijan,England,0,1,FIFA World Cup qualification,False,England,1,0,13,0,113,8,105
493,2004-10-13,Cyprus,France,0,2,FIFA World Cup qualification,False,France,2,0,9,0,108,2,106
494,2004-10-13,Italy,Belarus,4,3,FIFA World Cup qualification,False,Italy,1,9,2,11,10,69,59
495,2004-10-13,Lithuania,Spain,0,0,FIFA World Cup qualification,False,Draw,0,5,9,6,100,5,95
496,2004-10-13,Moldova,Scotland,1,1,FIFA World Cup qualification,False,Draw,0,1,3,1,114,86,28
497,2004-10-13,Netherlands,Finland,3,1,FIFA World Cup qualification,False,Netherlands,2,11,4,12,6,43,37
498,2004-10-13,Portugal,Russia,7,1,FIFA World Cup qualification,False,Portugal,6,10,3,12,9,32,23
499,2004-11-17,Andorra,Netherlands,0,3,FIFA World Cup qualification,True,Netherlands,3,0,13,0,138,6,132
500,2004-11-17,Belgium,Serbia,0,2,FIFA World Cup qualification,False,Serbia,2,5,4,4,45,201,156
501,2004-11-17,France,Poland,0,0,Friendly,False,Draw,0,9,7,4,2,25,23
502,2004-11-17,Germany,Cameroon,3,0,Friendly,False,Germany,3,10,2,5,19,23,4
503,2004-11-17,Greece,Kazakhstan,3,1,FIFA World Cup qualification,False,Greece,2,6,0,11,18,147,129
504,2004-11-17,Italy,Finland,1,0,Friendly,False,Italy,1,12,3,13,10,43,33
505,2004-11-17,Luxembourg,Portugal,0,5,FIFA World Cup qualification,False,Portugal,5,1,13,1,155,9,146
506,2004-11-17,Scotland,Sweden,1,4,Friendly,False,Sweden,3,3,6,4,86,13,73
507,2004-11-17,Spain,England,1,0,Friendly,False,Spain,1,9,10,13,5,8,3
508,2004-12-16,Japan,Germany,0,3,Friendly,False,Germany,3,3,13,3,17,19,2
509,2004-12-19,South Korea,Germany,3,1,Friendly,False,South Korea,2,12,10,12,22,19,3
510,2004-12-21,Thailand,Germany,1,5,Friendly,False,Germany,4,0,12,0,79,19,60
511,2005-02-09,Egypt,Belgium,4,0,Friendly,False,Egypt,4,6,2,3,32,55,23
512,2005-02-09,England,Netherlands,0,0,Friendly,False,Draw,0,10,11,13,9,3,6
513,2005-02-09,France,Sweden,1,1,Friendly,False,Draw,0,9,6,5,5,14,9
514,2005-02-09,Germany,Argentina,2,2,Friendly,False,Draw,0,10,7,6,16,4,12
515,2005-02-09,Greece,Denmark,2,1,FIFA World Cup qualification,False,Greece,1,8,7,11,16,13,3
516,2005-02-09,Republic of Ireland,Portugal,1,0,Friendly,False,Republic of Ireland,1,11,10,7,24,10,14
517,2005-02-09,Italy,Russia,2,0,Friendly,False,Italy,2,12,3,15,12,34,22
518,2005-02-09,Spain,San Marino,5,0,FIFA World Cup qualification,False,Spain,5,11,0,13,5,155,150
519,2005-03-26,Belgium,Bosnia and Herzegovina,4,1,FIFA World Cup qualification,False,Belgium,3,4,3,4,55,65,10
520,2005-03-26,England,Northern Ireland,4,0,FIFA World Cup qualification,False,England,4,10,1,13,9,103,94
521,2005-03-26,France,Switzerland,0,0,FIFA World Cup qualification,False,Draw,0,7,1,5,5,35,30
522,2005-03-26,Georgia,Greece,1,3,FIFA World Cup qualification,False,Greece,2,0,11,1,104,16,88
523,2005-03-26,Italy,Scotland,2,0,FIFA World Cup qualification,False,Italy,2,12,2,15,12,60,48
524,2005-03-26,Portugal,Canada,4,1,Friendly,False,Portugal,3,10,1,12,10,84,74
525,2005-03-26,Romania,Netherlands,0,2,FIFA World Cup qualification,False,Netherlands,2,6,11,3,27,3,24
526,2005-03-26,Slovenia,Germany,0,1,Friendly,False,Germany,1,4,10,3,68,16,52
527,2005-03-26,Spain,China PR,3,0,Friendly,False,Spain,3,13,0,13,5,72,67
528,2005-03-30,England,Azerbaijan,2,0,FIFA World Cup qualification,False,England,2,10,0,13,9,114,105
529,2005-03-30,Greece,Albania,2,0,FIFA World Cup qualification,False,Greece,2,13,3,13,16,82,66
530,2005-03-30,Israel,France,1,1,FIFA World Cup qualification,False,Draw,0,2,7,2,44,5,39
531,2005-03-30,Italy,Iceland,0,0,Friendly,False,Draw,0,13,5,13,12,94,82
532,2005-03-30,Netherlands,Armenia,2,0,FIFA World Cup qualification,False,Netherlands,2,13,0,15,3,108,105
533,2005-03-30,San Marino,Belgium,1,2,FIFA World Cup qualification,False,Belgium,1,0,6,0,155,55,100
534,2005-03-30,Serbia,Spain,0,0,FIFA World Cup qualification,True,Draw,0,5,11,3,201,5,196
535,2005-03-30,Slovakia,Portugal,1,1,FIFA World Cup qualification,False,Draw,0,3,10,2,45,10,35
536,2005-05-28,United States,England,1,2,Friendly,False,England,1,3,10,9,8,9,1
537,2005-05-31,Colombia,England,2,3,Friendly,True,England,1,1,13,7,24,9,15
538,2005-05-31,France,Hungary,2,1,Friendly,False,France,1,7,7,7,5,74,69
539,2005-06-04,Netherlands,Romania,2,0,FIFA World Cup qualification,False,Netherlands,2,13,6,15,3,27,24
540,2005-06-04,Northern Ireland,Germany,1,4,Friendly,False,Germany,3,1,10,1,103,16,87
541,2005-06-04,Norway,Italy,0,0,FIFA World Cup qualification,False,Draw,0,5,11,3,38,12,26
542,2005-06-04,Portugal,Slovakia,2,0,FIFA World Cup qualification,False,Portugal,2,10,2,12,10,45,35
543,2005-06-04,Scotland,Moldova,2,0,FIFA World Cup qualification,False,Scotland,2,4,1,4,60,107,47
544,2005-06-04,Serbia,Belgium,0,0,FIFA World Cup qualification,True,Draw,0,6,7,4,201,55,146
545,2005-06-04,Spain,Lithuania,1,0,FIFA World Cup qualification,False,Spain,1,13,2,15,5,100,95
546,2005-06-04,Turkey,Greece,0,0,FIFA World Cup qualification,False,Draw,0,6,13,2,11,16,5
