,date,home_team,away_team,home_score,away_score,tournament,neutral,winner,GD,home_team_curr_form,away_team_curr_form,home_team_home_form,home_rank,away_rank,rank_diff
65,2000-08-16,Portugal,Lithuania,5,1,Friendly,False,Portugal,4,12,4,15,6,85,79
66,2000-08-16,Switzerland,Greece,2,2,Friendly,False,Draw,0,4,10,3,58,42,16
67,2000-09-02,Belgium,Croatia,0,0,FIFA World Cup qualification,False,Draw,0,7,3,5,27,18,9
68,2000-09-02,Bosnia and Herzegovina,Spain,1,2,FIFA World Cup qualification,False,Spain,1,3,9,3,78,7,71
69,2000-09-02,France,England,1,1,Friendly,False,Draw,0,10,7,11,2,17,15
70,2000-09-02,Germany,Greece,2,0,FIFA World Cup qualification,False,Germany,2,7,7,13,11,42,31
71,2000-09-02,Latvia,Scotland,0,1,FIFA World Cup qualification,False,Scotland,1,4,10,2,92,25,67
72,2000-09-02,Netherlands,Republic of Ireland,2,2,FIFA World Cup qualification,False,Draw,0,10,2,10,8,31,23
73,2000-09-03,Estonia,Portugal,1,3,FIFA World Cup qualification,False,Portugal,2,2,12,2,67,6,61
74,2000-09-03,Hungary,Italy,2,2,FIFA World Cup qualification,False,Draw,0,2,10,3,47,4,43
75,2000-10-04,France,Cameroon,1,1,Friendly,False,Draw,0,11,5,11,2,39,37
76,2000-10-07,Cyprus,Netherlands,0,4,FIFA World Cup qualification,False,Netherlands,4,3,10,4,62,8,54
77,2000-10-07,England,Germany,0,1,FIFA World Cup qualification,False,Germany,1,4,9,7,17,11,6
78,2000-10-07,Greece,Finland,1,0,FIFA World Cup qualification,False,Greece,1,7,3,13,42,59,17
79,2000-10-07,Italy,Romania,3,0,FIFA World Cup qualification,False,Italy,3,10,4,15,4,13,9
80,2000-10-07,Latvia,Belgium,0,4,FIFA World Cup qualification,False,Belgium,4,4,7,1,92,27,65
81,2000-10-07,Portugal,Republic of Ireland,1,1,FIFA World Cup qualification,False,Draw,0,10,2,13,6,31,25
82,2000-10-07,San Marino,Scotland,0,2,FIFA World Cup qualification,False,Scotland,2,0,10,0,168,25,143
83,2000-10-07,South Africa,France,0,0,Friendly,False,Draw,0,1,9,2,20,2,18
84,2000-10-07,Spain,Israel,2,0,FIFA World Cup qualification,False,Spain,2,9,0,9,7,41,34
85,2000-10-11,Albania,Greece,2,0,FIFA World Cup qualification,False,Albania,2,4,4,4,72,42,30
86,2000-10-11,Austria,Spain,1,1,FIFA World Cup qualification,False,Draw,0,2,7,4,44,7,37
87,2000-10-11,Croatia,Scotland,1,1,FIFA World Cup qualification,False,Draw,0,4,11,4,18,25,7
88,2000-10-11,Finland,England,0,0,FIFA World Cup qualification,False,Draw,0,4,5,5,59,17,42
89,2000-10-11,Italy,Georgia,2,0,FIFA World Cup qualification,False,Italy,2,10,1,15,4,66,62
90,2000-10-11,Netherlands,Portugal,0,2,FIFA World Cup qualification,False,Portugal,2,7,10,7,8,6,2
91,2000-11-15,Denmark,Germany,2,1,Friendly,False,Denmark,1,4,9,8,22,11,11
92,2000-11-15,Greece,Slovakia,0,2,Friendly,False,Slovakia,2,4,3,10,42,24,18
93,2000-11-15,Italy,England,1,0,Friendly,False,Italy,1,10,2,15,4,17,13
94,2000-11-15,Portugal,Israel,2,1,Friendly,False,Portugal,1,13,0,13,6,41,35
95,2000-11-15,Scotland,Australia,0,2,Friendly,False,Australia,2,10,3,6,25,73,48
96,2000-11-15,Spain,Netherlands,1,2,Friendly,False,Netherlands,1,7,7,6,7,8,1
97,2000-11-15,Turkey,France,0,4,Friendly,False,France,4,4,9,3,30,2,28
98,2000-12-13,Greece,Serbia,1,1,Friendly,False,Draw,0,4,2,10,42,201,159
99,2001-02-27,France,Germany,1,0,Friendly,False,France,1,9,9,11,1,12,11
100,2001-02-28,Belgium,San Marino,10,1,FIFA World Cup qualification,False,Belgium,9,10,0,7,20,158,138
101,2001-02-28,England,Spain,3,0,Friendly,False,England,3,5,7,9,10,7,3
102,2001-02-28,Greece,Russia,3,3,Friendly,False,Draw,0,5,7,8,57,21,36
103,2001-02-28,Italy,Argentina,1,2,Friendly,False,Argentina,1,10,8,12,6,2,4
104,2001-02-28,Netherlands,Turkey,0,0,Friendly,False,Draw,0,8,4,5,8,23,15
105,2001-02-28,Portugal,Andorra,3,0,FIFA World Cup qualification,False,Portugal,3,13,0,13,4,140,136
106,2001-03-24,Andorra,Netherlands,0,5,FIFA World Cup qualification,True,Netherlands,5,0,10,0,140,8,132
107,2001-03-24,England,Finland,2,1,FIFA World Cup qualification,False,England,1,7,4,9,10,46,36
108,2001-03-24,France,Japan,5,0,Friendly,False,France,5,11,3,11,1,34,33
109,2001-03-24,Germany,Albania,2,1,FIFA World Cup qualification,False,Germany,1,9,4,13,12,96,84
110,2001-03-24,Romania,Italy,0,2,FIFA World Cup qualification,False,Italy,2,3,12,7,15,6,9
111,2001-03-24,Scotland,Belgium,2,2,FIFA World Cup qualification,False,Draw,0,8,11,4,50,20,30
112,2001-03-24,Spain,Liechtenstein,5,0,FIFA World Cup qualification,False,Spain,5,7,0,6,7,150,143
